Organism_name	CAI	Host	CodonSum
Hubei permutotetra-like virus 10 :Hubei permutotetra-like virus 10:RNA:Orthoptera:GCF_001966915.1	0.62361640587859	Sphenodon_punctatus.ASM311381v1	1213
Frog virus 3 :Frog virus 3:dsDNA:Lithobates pipiens:GCF_000844425.1	0.735168431559972	Chrysemys_picta_bellii.Chrysemys_picta_bellii-3.0.3	28432
Frog virus 3 :Frog virus 3:dsDNA:Lithobates pipiens:GCF_000844425.1	0.717958642368028	Xenopus_tropicalis.UCB_Xtro_10.0	28432
Ictalurid herpesvirus 1 :Ictavirus ictaluridallo1:dsDNA:Ictalurus punctatus:GCF_000839325.1	0.561745001333634	Ictalurus_punctatus.IpCoco_1.2	37775
Coffee ringspot virus :Dichorhavirus coffeae:ssRNA(-)::GCF_002867045.1	0.693996550712684	Coffea_canephora.AUK_PRJEB4211_v1	3593
Frog virus 3 :Frog virus 3:dsDNA:Lithobates pipiens:GCF_000844425.1	0.739648976897686	Terrapene_carolina_triunguis.T_m_triunguis-2.0	26207
Terrapene box turtle adintovirus :Betadintovirus terrapene:dsDNA:Terrapene carolina triunguis:GCF_018547995.1	0.668436587315344	Terrapene_carolina_triunguis.T_m_triunguis-2.0	3478
Hepacivirus P :Hepacivirus P:ssRNA(+):Spermophilus dauricus:GCF_004132385.1	0.714767926385284	Spermophilus_dauricus.ASM240643v1	2523
Bovine coronavirus :Betacoronavirus 1:ssRNA(+)::GCF_000862505.1	0.707758015115527	Spermophilus_dauricus.ASM240643v1	9402
Beilong virus :Jeilongvirus beilongi:ssRNA(-)::GCF_000868925.1	0.703033770610372	Spermophilus_dauricus.ASM240643v1	5272
Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1	0.697918238715932	Dasypus_novemcinctus.Dasnov3.0	3615
Ross River virus :Ross River virus:ssRNA(+)::GCF_000862165.1	0.672842189441323	Notamacropus_eugenii.Meug_1.0	4506
Ross River virus :Ross River virus:ssRNA(+):Homo sapiens:GCF_002889255.1	0.673363166914711	Notamacropus_eugenii.Meug_1.0	3746
Wenling hagfish virus :Agnathovirus eptatreti:ssRNA(-):Eptatretus burgeri:GCF_004788955.1	0.646713838179677	Eptatretus_burgeri.Eburgeri_3.2	2082
Asparagus virus 1 :Asparagus virus 1:ssRNA(+)::GCF_000928895.1	0.642632992213239	Asparagus_officinalis.Aspof.V1	3112
Plant associated genomovirus 21 :Gemycircularvirus aspar1:ssDNA:Asparagus:GCF_018584145.1	0.67800739657679	Asparagus_officinalis.Aspof.V1	614
Plant associated genomovirus 13 :Gemycircularvirus willde1:ssDNA:Willdenowia:GCF_018584115.1	0.670801200781396	Asparagus_officinalis.Aspof.V1	654
Asparagus virus 2 :Asparagus virus 2:ssRNA(+)::GCF_000881975.1	0.676935611763249	Asparagus_officinalis.Aspof.V1	2557
Lizard adenovirus 2 :Lizard atadenovirus A:dsDNA:Heloderma horridum:GCF_000923975.1	0.704114374065674	Pogona_vitticeps.pvi1.1	10779
Bearded dragon adenovirus 1 :Lizard atadenovirus B:dsDNA:Pogona vitticeps:GCF_018591195.1	0.723828549211861	Pogona_vitticeps.pvi1.1	11465
Bearded dragon parvovirus :Dependoparvovirus squamate2:ssDNA(+/-):Pogona vitticeps:GCF_001045385.1	0.722924590049577	Pogona_vitticeps.pvi1.1	1290
Gopherus associated circular DNA virus 1 :Gopherus associated circular DNA virus 1:ssDNA:Gopherus:GCF_003846525.1	0.693696425012872	Gopherus_evgoodei.rGopEvg1_v1.p	637
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+)::GCF_000850885.1	0.642682814386856	Gopherus_evgoodei.rGopEvg1_v1.p	4514
Tortoise genomovirus 9 :Gemykolovirus gopha1:ssDNA:Gopherus agassizii:GCF_018585495.1	0.682505016753977	Gopherus_evgoodei.rGopEvg1_v1.p	636
Tortoise genomovirus 13 :Gemykolovirus gopha2:ssDNA:Gopherus agassizii:GCF_018585515.1	0.689905199220815	Gopherus_evgoodei.rGopEvg1_v1.p	642
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+):Culex:GCF_002889215.1	0.627987680165698	Gopherus_evgoodei.rGopEvg1_v1.p	3690
Tortoise genomovirus 17 :Gemycircularvirus gopha1:ssDNA:Gopherus agassizii:GCF_018585525.1	0.663228343260137	Gopherus_evgoodei.rGopEvg1_v1.p	634
Gopherus associated circular DNA virus 1 :Gopherus associated circular DNA virus 1:ssDNA:Gopherus:GCF_003846525.1	0.711466470466056	Gopherus_agassizii.ASM289641v1	637
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+)::GCF_000850885.1	0.660621511642077	Gopherus_agassizii.ASM289641v1	4514
Tortoise genomovirus 9 :Gemykolovirus gopha1:ssDNA:Gopherus agassizii:GCF_018585495.1	0.700419644103038	Gopherus_agassizii.ASM289641v1	636
Tortoise genomovirus 13 :Gemykolovirus gopha2:ssDNA:Gopherus agassizii:GCF_018585515.1	0.704937962767056	Gopherus_agassizii.ASM289641v1	642
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+):Culex:GCF_002889215.1	0.645444887499211	Gopherus_agassizii.ASM289641v1	3690
Tortoise genomovirus 17 :Gemycircularvirus gopha1:ssDNA:Gopherus agassizii:GCF_018585525.1	0.679941795747253	Gopherus_agassizii.ASM289641v1	634
Lymphocystis disease virus 1 :Lymphocystis disease virus 1:dsDNA::GCF_000839605.1	0.302680016715403	Parambassis_ranga.fParRan2.1	31577
Lymphocystis disease virus 1 :Lymphocystis disease virus 1:dsDNA::GCF_000839605.1	0.283075089507315	Amphiprion_percula.Nemo_v1	31577
Lymphocystis disease virus 1 :Lymphocystis disease virus 1:dsDNA::GCF_000839605.1	0.280184279652691	Amphiprion_ocellaris.AmpOce1.0	31577
Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1	0.671160244176948	Suricata_suricatta.meerkat_22Aug2017_6uvM2_HiC	3250
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1	0.674002157925857	Suricata_suricatta.meerkat_22Aug2017_6uvM2_HiC	4222
Simian foamy virus :Simian foamy virus:ssRNA-RT:Macaca fascicularis:GCF_004788255.1	0.60745075455282	Theropithecus_gelada.Tgel_1.0	3587
Cassava common mosaic virus :Cassava common mosaic virus:ssRNA(+)::GCF_000849345.1	0.674384071113385	Pistacia_vera.PisVer_v2	2118
Pistachio ampelovirus A :Pistachio ampelovirus A:ssRNA(+):Pistacia vera:GCF_013087795.1	0.618366731781825	Pistacia_vera.PisVer_v2	5271
Pistacia emaravirus :Pistacia emaravirus:ssRNA(-):Pistacia vera:GCF_013086125.1	0.607675578997333	Pistacia_vera.PisVer_v2	5314
Beihai picorna-like virus 77 :Beihai picorna-like virus 77:RNA:Bivalvia:GCF_001934285.1	0.348200356361063	Leersia_perrieri.Lperr_V1.4	2743
Eastern equine encephalitis virus :Eastern equine encephalitis virus:ssRNA(+)::GCF_000862705.1	0.462864328664609	Catharus_ustulatus.bCatUst1.pri	6445
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+)::GCF_000850885.1	0.490771617461366	Zonotrichia_albicollis.Zonotrichia_albicollis-1.0.1	4514
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+):Culex:GCF_002889215.1	0.47026096261641	Zonotrichia_albicollis.Zonotrichia_albicollis-1.0.1	3690
Eastern equine encephalitis virus :Eastern equine encephalitis virus:ssRNA(+)::GCF_000862705.1	0.49056448723746	Zonotrichia_albicollis.Zonotrichia_albicollis-1.0.1	6445
Phascolarctid gammaherpesvirus 1 :Manticavirus phascolarctidgamma1:dsDNA:Phascolarctos cinereus:GCF_018583155.1	0.706027615952269	Phascolarctos_cinereus.phaCin_unsw_v4.1	32749
Burpengary virus :Marsupivirus A:ssRNA(+):Phascolarctos cinereus:GCF_018587065.1	0.691173318838876	Phascolarctos_cinereus.phaCin_unsw_v4.1	2062
Koala retrovirus :Koala retrovirus:ssRNA-RT::GCF_002888855.1	0.702209806982869	Phascolarctos_cinereus.phaCin_unsw_v4.1	2307
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.541851608513614	Poecilia_reticulata.Guppy_female_1.0_MT	34670
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.53674283207963	Poecilia_mexicana.P_mexicana-1.0	34670
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.538463363876804	Poecilia_latipinna.P_latipinna-1.0	34670
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.539548365618871	Poecilia_formosa.PoeFor_5.1.2	34670
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.543532212345799	Xiphophorus_maculatus.X_maculatus-5.0-male	34670
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.543593618157977	Xiphophorus_couchianus.Xiphophorus_couchianus-4.0.1	34670
Cyprinid herpesvirus 3 :Cyvirus cyprinidallo3:dsDNA:Cyprinus carpio:GCF_000871465.1	0.688718682805344	Pygocentrus_nattereri.Pygocentrus_nattereri-1.0.2	85237
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.577158359453028	Pygocentrus_nattereri.Pygocentrus_nattereri-1.0.2	34670
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.50675670160939	Larimichthys_crocea.L_crocea_2.0	34670
Brown greater galago prosimian foamy virus :Brown greater galago prosimian foamy virus:ssRNA-RT:Otolemur crassicaudatus:GCF_003032745.1	0.696083076265298	Otolemur_garnettii.OtoGar3	2381
Potamipivirus A :Potamipivirus A:ssRNA(+):Gasterosteus aculeatus:GCF_013087405.1	0.464151086000697	Gasterosteus_aculeatus.BROADS1	2546
Infectious pancreatic necrosis virus :Aquabirnavirus salmonidae:dsRNA::GCF_000856525.1	0.539603859366555	Gadus_morhua.gadMor3.0	1965
Barfin flounder nervous necrosis virus :Barfin flounder nervous necrosis virus:ssRNA(+)::GCF_000884415.1	0.536151675499542	Gadus_morhua.gadMor3.0	1394
Yellowtail ascites virus :Aquabirnavirus ascitae:dsRNA::GCF_000853245.1	0.52418560253828	Seriola_lalandi_dorsalis.Sedor1	1779
Barfin flounder nervous necrosis virus :Barfin flounder nervous necrosis virus:ssRNA(+)::GCF_000884415.1	0.533745496093711	Seriola_lalandi_dorsalis.Sedor1	1284
Yellowtail ascites virus :Aquabirnavirus ascitae:dsRNA::GCF_000853245.1	0.532379521857455	Seriola_dumerili.Sdu_1.0	1779
Barfin flounder nervous necrosis virus :Barfin flounder nervous necrosis virus:ssRNA(+)::GCF_000884415.1	0.530055428057701	Seriola_dumerili.Sdu_1.0	1284
Picobirnavirus sp. :Picobirnavirus sp.:dsRNA:Capreolus capreolus:GCF_004117395.1	0.565824498031582	Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0	1366
Fowlpox virus :Fowlpox virus:dsDNA::GCF_000838605.1	0.449643792361376	Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0	82299
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1	0.579206082514967	Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0	4809
Picornaviridae sp. :Picornaviridae sp.:ssRNA(+):Grus japonensis:GCF_003389975.1	0.56793104961432	Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0	2231
Fowl aviadenovirus A :Fowl aviadenovirus A:dsDNA::GCF_000884315.1	0.636424286377389	Numida_meleagris.NumMel1.0	12513
Avian metapneumovirus :Metapneumovirus avis:ssRNA(-)::GCF_002989735.1	0.538218535294076	Numida_meleagris.NumMel1.0	4289
Fowl aviadenovirus A :Fowl aviadenovirus A:dsDNA::GCF_000845105.1	0.633237762893727	Numida_meleagris.NumMel1.0	12602
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	0.553445467826484	Numida_meleagris.NumMel1.0	4621
Picornaviridae sp. :Picornaviridae sp.:ssRNA(+):Grus japonensis:GCF_003389975.1	0.552849465040681	Numida_meleagris.NumMel1.0	2231
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	0.5404143591439	Numida_meleagris.NumMel1.0	4576
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	0.549528151970802	Otus_sunia.OtuSun1.0	4621
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	0.536322239395523	Otus_sunia.OtuSun1.0	4576
Quail picornavirus QPV1/HUN/2010 :Quail picornavirus QPV1/HUN/2010:ssRNA(+):Coturnix coturnix:GCF_000895635.1	0.566971625788313	Coturnix_japonica.Coturnix_japonica_2.0	2482
Infectious bronchitis virus :Avian coronavirus:ssRNA(+):Gallus gallus:GCF_012271575.1	0.501549033606377	Coturnix_japonica.Coturnix_japonica_2.0	8795
Avian metapneumovirus :Metapneumovirus avis:ssRNA(-)::GCF_002989735.1	0.526239529836426	Coturnix_japonica.Coturnix_japonica_2.0	4289
Influenza A virus (A/Hong Kong/1073/99(H9N2)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000851145.1	0.550262741808652	Coturnix_japonica.Coturnix_japonica_2.0	4458
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	0.543752120391333	Coturnix_japonica.Coturnix_japonica_2.0	4621
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1	0.561235043757384	Coturnix_japonica.Coturnix_japonica_2.0	4809
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	0.531203404312838	Coturnix_japonica.Coturnix_japonica_2.0	4576
Faeces associated gemycircularvirus 12 :Gemytondvirus ostri1:ssDNA:Struthio camelus:GCF_000928795.1	0.66062712305166	Struthio_camelus_australis.ASM69896v1	579
Influenza A virus (A/Hong Kong/1073/99(H9N2)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000851145.1	0.666860130849376	Struthio_camelus_australis.ASM69896v1	3933
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	0.646376512529094	Struthio_camelus_australis.ASM69896v1	4201
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1	0.670750563990504	Struthio_camelus_australis.ASM69896v1	4222
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	0.637084807872949	Struthio_camelus_australis.ASM69896v1	4156
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+)::GCF_000850885.1	0.628966937561095	Dromaius_novaehollandiae.droNov1	4514
Western equine encephalitis virus :Western equine encephalitis virus:ssRNA(+):Culex:GCF_002889215.1	0.611169458026233	Dromaius_novaehollandiae.droNov1	3690
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	0.594931039374374	Dromaius_novaehollandiae.droNov1	4621
Aquatic bird bornavirus 1 :Orthobornavirus avisaquaticae:ssRNA(-):Branta canadensis:GCF_002366045.1	0.543376089569771	Dromaius_novaehollandiae.droNov1	3012
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1	0.610678110735736	Dromaius_novaehollandiae.droNov1	4809
Eastern equine encephalitis virus :Eastern equine encephalitis virus:ssRNA(+)::GCF_000862705.1	0.631182723394686	Dromaius_novaehollandiae.droNov1	6445
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	0.584493572135596	Dromaius_novaehollandiae.droNov1	4576
Wheat dwarf virus :Wheat dwarf virus:ssDNA(+/-):Triticum aestivum:GCF_000865525.1	0.453329543005582	Aegilops_tauschii.Aet_v4.0	965
Wheat dwarf virus :Wheat dwarf virus:ssDNA(+/-):Hordeum vulgare:GCF_002987285.1	0.479511250198339	Aegilops_tauschii.Aet_v4.0	961
Pineapple secovirus A :Sadwavirus alphananas:ssRNA(+):Ananas comosus:GCF_023156745.1	0.585374733044713	Ananas_comosus.F153	2984
pineapple secovirus B :pineapple secovirus B:ssRNA(+):Ananas comosus:GCF_029888445.1	0.600456764491946	Ananas_comosus.F153	3016
Pineapple mealybug wilt-associated virus 1 :Pineapple mealybug wilt-associated virus 1:ssRNA(+)::GCF_000872265.1	0.558262959584408	Ananas_comosus.F153	3645
Sugarcane mosaic virus :Sugarcane mosaic virus:ssRNA(+):Zea mays:GCF_000854025.1	0.536756571794658	Ananas_comosus.F153	3063
Pineapple bacilliform CO virus :Badnavirus alphananas:dsDNA-RT:Ananas comosus:GCF_000889415.1	0.622176236599213	Ananas_comosus.F153	2205
Eragrostis curvula streak virus :Eragrostis curvula streak virus:ssDNA(+/-):Eragrostis curvula:GCF_000884795.1	0.500315641658593	Eragrostis_tef.Salk_teff_dabbi_3.0	714
Panicum streak virus :Panicum streak virus:ssDNA(+/-)::GCF_000839585.1	0.607663214974372	Eragrostis_tef.Salk_teff_dabbi_3.0	679
Eragrostis minor streak virus :Eragrostis minor streak virus:ssDNA(+/-):Eragrostis minor:GCF_000893655.1	0.535623435714696	Eragrostis_tef.Salk_teff_dabbi_3.0	974
Eragrostis streak virus :Eragrostis streak virus:ssDNA(+/-):Eragrostis curvula:GCF_000872685.1	0.554930100152067	Eragrostis_tef.Salk_teff_dabbi_3.0	656
Eragrostis curvula streak virus :Eragrostis curvula streak virus:ssDNA(+/-):Eragrostis curvula:GCF_000884795.1	0.495776664071127	Eragrostis_curvula.CERZOS_E.curvula1.0	714
Panicum streak virus :Panicum streak virus:ssDNA(+/-)::GCF_000839585.1	0.604241950903604	Eragrostis_curvula.CERZOS_E.curvula1.0	679
Eragrostis minor streak virus :Eragrostis minor streak virus:ssDNA(+/-):Eragrostis minor:GCF_000893655.1	0.531990625650172	Eragrostis_curvula.CERZOS_E.curvula1.0	974
Eragrostis streak virus :Eragrostis streak virus:ssDNA(+/-):Eragrostis curvula:GCF_000872685.1	0.548567042607561	Eragrostis_curvula.CERZOS_E.curvula1.0	656
Wenling tonguesole paramyxovirus :Cynoglossusvirus cynoglossi:ssRNA(-):Cynoglossus sp.:GCF_004789055.1	0.500829967115792	Cynoglossus_semilaevis.Cse_v1.0	4415
Redspotted grouper nervous necrosis virus :Redspotted grouper nervous necrosis virus:ssRNA(+)::GCF_000869085.1	0.622553402270132	Cynoglossus_semilaevis.Cse_v1.0	1395
Infectious pancreatic necrosis virus :Aquabirnavirus salmonidae:dsRNA::GCF_000856525.1	0.547122579260341	Oreochromis_niloticus.O_niloticus_UMD_NMBU	1965
Tilapia parvovirus :Tilapia parvovirus:ssDNA(+/-):Oreochromis niloticus:GCF_029885325.1	0.411972242125188	Oreochromis_niloticus.O_niloticus_UMD_NMBU	1303
Tilapia lake virus :Tilapinevirus tilapiae:ssRNA(-):Tilapia:GCF_001630085.1	0.462719764019215	Oreochromis_niloticus.O_niloticus_UMD_NMBU	2534
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.543438013009368	Oreochromis_niloticus.O_niloticus_UMD_NMBU	34670
Redspotted grouper nervous necrosis virus :Redspotted grouper nervous necrosis virus:ssRNA(+)::GCF_000869085.1	0.565742609140853	Oreochromis_niloticus.O_niloticus_UMD_NMBU	1395
Infectious pancreatic necrosis virus :Aquabirnavirus salmonidae:dsRNA::GCF_000856525.1	0.531996166481075	Oreochromis_aureus.ASM587006v1	1965
Tilapia parvovirus :Tilapia parvovirus:ssDNA(+/-):Oreochromis niloticus:GCF_029885325.1	0.398263233646657	Oreochromis_aureus.ASM587006v1	1303
Tilapia lake virus :Tilapinevirus tilapiae:ssRNA(-):Tilapia:GCF_001630085.1	0.449148611643514	Oreochromis_aureus.ASM587006v1	2534
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.531425615963407	Oreochromis_aureus.ASM587006v1	34670
Redspotted grouper nervous necrosis virus :Redspotted grouper nervous necrosis virus:ssRNA(+)::GCF_000869085.1	0.554817280181355	Oreochromis_aureus.ASM587006v1	1395
Lates calcarifer birnavirus :Blosnavirus lati:dsRNA:Lates calcarifer:GCF_013087065.1	0.548924760009799	Lates_calcarifer.ASB_HGAPassembly_v1	1946
Lymphocystis disease virus 1 :Lymphocystis disease virus 1:dsDNA::GCF_000839605.1	0.271617446579804	Lates_calcarifer.ASB_HGAPassembly_v1	31577
Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1	0.51246839958594	Lates_calcarifer.ASB_HGAPassembly_v1	34670
Redspotted grouper nervous necrosis virus :Redspotted grouper nervous necrosis virus:ssRNA(+)::GCF_000869085.1	0.535635410885655	Lates_calcarifer.ASB_HGAPassembly_v1	1395
Infectious pancreatic necrosis virus :Aquabirnavirus salmonidae:dsRNA::GCF_000856525.1	0.530579022597945	Sparus_aurata.fSpaAur1.1	1786
Lymphocystis disease virus Sa :Lymphocystis disease virus Sa:dsDNA:Sparus aurata:GCF_001974475.1	0.319528069765533	Sparus_aurata.fSpaAur1.1	38958
Sparus aurata polyomavirus 1 :Thetapolyomavirus spari:dsDNA:Sparus aurata:GCF_001717195.1	0.524155796624734	Sparus_aurata.fSpaAur1.1	1894
Striped jack nervous necrosis virus :Striped jack nervous necrosis virus:ssRNA(+)::GCF_000849525.1	0.501893548459377	Sparus_aurata.fSpaAur1.1	1299
Sparus aurata papillomavirus 1 :Alefpapillomavirus 1:dsDNA:Sparus aurata:GCF_001717215.1	0.421573231240754	Sparus_aurata.fSpaAur1.1	1955
Lymphocystis disease virus 1 :Lymphocystis disease virus 1:dsDNA::GCF_000839605.1	0.289942813086785	Sparus_aurata.fSpaAur1.1	27826
Redspotted grouper nervous necrosis virus :Redspotted grouper nervous necrosis virus:ssRNA(+)::GCF_000869085.1	0.532899435745055	Sparus_aurata.fSpaAur1.1	1284
Enterovirus sp. :Enterovirus sp.:ssRNA(+):Mandrillus sphinx:GCF_000919855.1	0.455205551351324	Sparus_aurata.fSpaAur1.1	1966
Picornavirales sp. :Picornavirales sp.:ssRNA(+):Rodentia:GCF_013086165.1	0.433854597267405	Ficedula_albicollis.FicAlb1.5	2497
Picornaviridae sp. :Picornaviridae sp.:ssRNA(+):Grus japonensis:GCF_003389975.1	0.436777415137293	Ficedula_albicollis.FicAlb1.5	2231
Picornavirales sp. :Picornavirales sp.:ssRNA(+):Rodentia:GCF_013086155.1	0.468300472229653	Ficedula_albicollis.FicAlb1.5	2289
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1	0.472618636143856	Zosterops_lateralis_melanops.ASM128173v1	4809
Picornavirales sp. :Picornavirales sp.:ssRNA(+):Rodentia:GCF_013086165.1	0.441313045921274	Zosterops_lateralis_melanops.ASM128173v1	2497
Picornavirales sp. :Picornavirales sp.:ssRNA(+):Rodentia:GCF_013086155.1	0.474974174124996	Zosterops_lateralis_melanops.ASM128173v1	2289
Parrot bornavirus 2 :Orthobornavirus alphapsittaciforme:ssRNA(-):Aratinga solstitialis:GCF_002366345.1	0.484351743168682	Melopsittacus_undulatus.bMelUnd1.mat.Z	3014
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	0.535545663880512	Melopsittacus_undulatus.bMelUnd1.mat.Z	4621
Parrot bornavirus 4 :Orthobornavirus alphapsittaciforme:ssRNA(-):Ara ararauna:GCF_001430055.5	0.495657230438844	Melopsittacus_undulatus.bMelUnd1.mat.Z	3011
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	0.524279748374905	Melopsittacus_undulatus.bMelUnd1.mat.Z	4576
Avian metaavulavirus 5 :Metaavulavirus kunitachiense:ssRNA(-):Melopsittacus undulatus:GCF_000924655.1	0.476568985329192	Melopsittacus_undulatus.bMelUnd1.mat.Z	5124
Canarypox virus :Canarypox virus:dsDNA::GCF_000841685.1	0.340160913099395	Geospiza_fortis.GeoFor_1.0	108328
Salmon pancreas disease virus :Salmon pancreas disease virus:ssRNA(+)::GCF_000857265.1	0.550905653223739	Labrus_bergylta.BallGen_V1	4805
