Abaca bunchy top virus:Abaca bunchy top virus	Musa	Abaca bunchy top virus :Abaca bunchy top virus:ssDNA(+):Musa sp.:GCF_000872625.1
Acheta domestica densovirus:Scindoambidensovirus orthopteran1	Acheta	Acheta domestica densovirus :Scindoambidensovirus orthopteran1:ssDNA(+/-):Acheta domesticus:GCF_003033195.1
Acheta domestica densovirus:Scindoambidensovirus orthopteran1	Acheta	Acheta domestica densovirus :Scindoambidensovirus orthopteran1:ssDNA(+/-)::GCF_000858405.1
Acheta domestica densovirus:Scindoambidensovirus orthopteran1	Gryllodes	Acheta domestica densovirus :Scindoambidensovirus orthopteran1:ssDNA(+/-):Acheta domesticus:GCF_003033195.1
Acheta domestica densovirus:Scindoambidensovirus orthopteran1	Gryllodes	Acheta domestica densovirus :Scindoambidensovirus orthopteran1:ssDNA(+/-)::GCF_000858405.1
Acheta domestica mini ambidensovirus:Orthopteran miniambidensovirus 1	Gryllidae	Acheta domestica mini ambidensovirus :Orthopteran miniambidensovirus 1:ssDNA(+/-):Gryllidae:GCF_000912155.1
Acheta domesticus iflavirus:Iflavirus achedomestici	Acheta	Acheta domesticus iflavirus :Iflavirus achedomestici:ssRNA(+):Acheta domesticus:GCF_023156815.1
Acheta domesticus volvovirus:Acheta domesticus volvovirus	Acheta	Acheta domesticus volvovirus :Acheta domesticus volvovirus:ssDNA:Acheta domesticus:GCF_000908295.1
Acheta domesticus volvovirus:Acheta domesticus volvovirus	Gryllus	Acheta domesticus volvovirus :Acheta domesticus volvovirus:ssDNA:Acheta domesticus:GCF_000908295.1
Achimota virus 1:Pararubulavirus achimotaense	Eidolon	Achimota virus 1 :Pararubulavirus achimotaense:ssRNA(-):Eidolon helvum:GCF_000925575.1
Achimota virus 2:Pararubulavirus accraense	Eidolon	Achimota virus 2 :Pararubulavirus accraense:ssRNA(-):Eidolon helvum:GCF_000924735.1
Achyranthes virus A:Potyvirus achyranthis	Achyranthes	Achyranthes virus A :Potyvirus achyranthis:ssRNA(+):Achyranthes bidentata:GCF_023148805.1
Acidianus bottle-shaped virus 2 strain ABV2:Bottigliavirus ABV2	Sulfolobales	Acidianus bottle-shaped virus 2 strain ABV2 :Bottigliavirus ABV2:dsDNA:Sulfolobales:GCF_001502255.1
Acidianus bottle-shaped virus 3 strain ABV3:Bottigliavirus ABV3	Sulfolobales	Acidianus bottle-shaped virus 3 strain ABV3 :Bottigliavirus ABV3:dsDNA:Sulfolobales:GCF_001501475.1
Acidianus bottle-shaped virus:Bottigliavirus ABV	Acidianus	Acidianus bottle-shaped virus :Bottigliavirus ABV:dsDNA:Acidianus convivator:GCF_000873825.1
Acidianus filamentous virus 6:Acidianus filamentous virus 6	Acidianus	Acidianus filamentous virus 6 :Acidianus filamentous virus 6:dsDNA:Acidianus convivator:GCF_000871385.1
Acidianus filamentous virus 7:Acidianus filamentous virus 7	Acidianus	Acidianus filamentous virus 7 :Acidianus filamentous virus 7:dsDNA:Acidianus convivator:GCF_000872245.1
Acidianus filamentous virus 8:Acidianus filamentous virus 8	Acidianus	Acidianus filamentous virus 8 :Acidianus filamentous virus 8:dsDNA:Acidianus convivator:GCF_000872405.1
Acidianus filamentous virus 9:Acidianus filamentous virus 9	Acidianus	Acidianus filamentous virus 9 :Acidianus filamentous virus 9:dsDNA:Acidianus uzoniensis:GCF_000879855.1
Acidianus rod-shaped virus 1:Itarudivirus ARV1	Acidianus	Acidianus rod-shaped virus 1 :Itarudivirus ARV1:dsDNA:Acidianus sp. Acii26:GCF_000871285.1
Acidianus rod-shaped virus 2:Hoswirudivirus ARV2	Sulfolobales	Acidianus rod-shaped virus 2 :Hoswirudivirus ARV2:dsDNA:Sulfolobales:GCF_001579495.1
Acidianus rod-shaped virus 3:Hoswirudivirus ARV3	Acidianus	Acidianus rod-shaped virus 3 :Hoswirudivirus ARV3:dsDNA:Acidianus brierleyi:GCF_012979455.1
Acidianus spindle-shaped virus 1:Acidianus spindle-shaped virus 1	Acidianus	Acidianus spindle-shaped virus 1 :Acidianus spindle-shaped virus 1:dsDNA:Acidianus brierleyi:GCF_000886935.1
Acidianus tailed spindle virus:Acidianus tailed spindle virus	Acidianus	Acidianus tailed spindle virus :Acidianus tailed spindle virus:dsDNA:Acidianus:GCF_001579395.1
Acidianus two-tailed virus:Acidianus two-tailed virus	Acidianus	Acidianus two-tailed virus :Acidianus two-tailed virus:dsDNA:Acidianus convivator:GCF_000865845.1
Aconite virus A:Aconite virus A	Aconitum	Aconite virus A :Aconite virus A:ssRNA(+):Aconitum carmichaelii:GCF_029885185.1
Aconitum latent virus:Aconitum latent virus	Aconitum	Aconitum latent virus :Aconitum latent virus:ssRNA(+):Delphinium:GCF_000863345.1
Aconitum latent virus:Aconitum latent virus	Delphinium	Aconitum latent virus :Aconitum latent virus:ssRNA(+):Delphinium:GCF_000863345.1
Acremonium sclerotigenum ourmia-like virus 1:Acremonium magoulivirus	Acremonium	Acremonium sclerotigenum ourmia-like virus 1 :Acremonium magoulivirus:ssRNA(+):Acremonium sclerotigenum:GCF_018585625.1
Actinidia chlorotic ringspot-associated virus:Emaravirus actinidiae	Actinidia	Actinidia chlorotic ringspot-associated virus :Emaravirus actinidiae:ssRNA(-):Actinidia deliciosa:GCF_002867245.1
Actinidia cytorhabdovirus JS27:Actinidia cytorhabdovirus JS27	Actinidia	Actinidia cytorhabdovirus JS27 :Actinidia cytorhabdovirus JS27:ssRNA(-):Actinidia deliciosa:GCF_029885955.1
Actinidia seed borne latent virus:Actinidia seed borne latent virus	Actinidia	Actinidia seed borne latent virus :Actinidia seed borne latent virus:ssRNA(+)::GCF_004131265.1
Actinidia virus 1:Actinidia virus 1	Actinidia	Actinidia virus 1 :Actinidia virus 1:ssRNA(+):Actinidia chinensis:GCF_002270905.1
Actinidia yellowing virus 1:Waikavirus actinidiae	Actinidia	Actinidia yellowing virus 1 :Waikavirus actinidiae:ssRNA(+):Actinidia:GCF_023131635.1
Actinovirus bernense:Actinovirus bernense	Perca	Actinovirus bernense :Actinovirus bernense:ssRNA(-):Perca fluviatilis:GCF_018595115.1
Acute bee paralysis virus:Aparavirus apisacutum	Agelena	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Andrena	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Anthidium	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Apis	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Bombus	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Cerceris	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Eucera	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Halictus	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Insecta	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Lasioglossum	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Lasius	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Lithurgus	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Megachile	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Megascolia	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Melipona	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Nomada	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Osmia	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Polistes	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Pseudapis	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Sceliphron	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Sphaerophoria	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Stelis	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Tropilaelaps	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Varroa	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Vespa	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acute bee paralysis virus:Aparavirus apisacutum	Xylocopa	Acute bee paralysis virus :Aparavirus apisacutum:ssRNA(+):Apis mellifera:GCF_000856345.1
Acyrthosiphon pisum virus:Acyrthosiphon pisum virus	Acyrthosiphon	Acyrthosiphon pisum virus :Acyrthosiphon pisum virus:ssRNA(+)::GCF_000886815.1
Acyrthosiphon pisum virus:Acyrthosiphon pisum virus	Culex	Acyrthosiphon pisum virus :Acyrthosiphon pisum virus:ssRNA(+)::GCF_000886815.1
Adana virus:Phlebovirus adanaense	Phlebotomus	Adana virus :Phlebovirus adanaense:ssRNA(+/-):Phlebotomus:GCF_001550965.1
Adelaide River virus:Ephemerovirus adelaide	Bos	Adelaide River virus :Ephemerovirus adelaide:ssRNA(-):Bos taurus:GCF_001433545.1
Adelie penguin polyomavirus:Gammapolyomavirus padeliae	Pygoscelis	Adelie penguin polyomavirus :Gammapolyomavirus padeliae:dsDNA:Pygoscelis adeliae:GCF_000930155.1
adeno-associated virus 2:Dependoparvovirus primate1	Homo	adeno-associated virus 2 :Dependoparvovirus primate1:ssDNA(+/-)::GCF_000838645.1
Adeno-associated virus - 7:Dependoparvovirus primate1	Macaca	Adeno-associated virus - 7 :Dependoparvovirus primate1:ssDNA(+/-):Macaca mulatta:GCF_000845645.1
Adeno-associated virus - 8:Dependoparvovirus primate1	Macaca	Adeno-associated virus - 8 :Dependoparvovirus primate1:ssDNA(+/-):Macaca mulatta:GCF_000846525.1
Adeno-associated virus:Adeno-associated virus	Anas	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Anatidae	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Cairina	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Capra	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Falco	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Homo	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Macaca	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Myocastor	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Myodes	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Primates	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adeno-associated virus:Adeno-associated virus	Sus	Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1
Adonis mosaic virus:Alphacarmovirus adonis	Adonis	Adonis mosaic virus :Alphacarmovirus adonis:ssRNA(+):Adonis ramosa:GCF_004130615.1
Adoxophyes honmai entomopoxvirus 'L':Adoxophyes honmai entomopoxvirus	Adoxophyes	Adoxophyes honmai entomopoxvirus 'L' :Adoxophyes honmai entomopoxvirus:dsDNA:Adoxophyes honmai:GCF_000907395.1
Adoxophyes orana granulovirus:Betabaculovirus adoranae	Adoxophyes	Adoxophyes orana granulovirus :Betabaculovirus adoranae:dsDNA::GCF_000841485.1
Adoxophyes orana nucleopolyhedrovirus:Adoxophyes orana nucleopolyhedrovirus	Adoxophyes	Adoxophyes orana nucleopolyhedrovirus :Adoxophyes orana nucleopolyhedrovirus:dsDNA:Adoxophyes orana:GCF_000883235.1
Aedes aegypti densovirus 2:Brevihamaparvovirus dipteran1	Aedes	Aedes aegypti densovirus 2 :Brevihamaparvovirus dipteran1:ssDNA(+/-):Aedes aegypti:GCF_000882875.1
Aedes alboannulatus toti-like virus 1:Aedes alboannulatus toti-like virus 1	Ochlerotatus	Aedes alboannulatus toti-like virus 1 :Aedes alboannulatus toti-like virus 1:unknown:Ochlerotatus camptorhynchus:GCF_002210815.1
Aedes camptorhynchus negev-like virus:Aedes camptorhynchus negev-like virus	Ochlerotatus	Aedes camptorhynchus negev-like virus :Aedes camptorhynchus negev-like virus:unknown:Ochlerotatus camptorhynchus:GCF_002210595.1
Aedes camptorhynchus reo-like virus:Aedes camptorhynchus reo-like virus	Ochlerotatus	Aedes camptorhynchus reo-like virus :Aedes camptorhynchus reo-like virus:unknown:Ochlerotatus camptorhynchus:GCF_002288815.1
Aedes camptorhynchus toti-like virus 1:Aedes camptorhynchus toti-like virus 1	Ochlerotatus	Aedes camptorhynchus toti-like virus 1 :Aedes camptorhynchus toti-like virus 1:unknown:Ochlerotatus camptorhynchus:GCF_002211015.1
Aedes flavivirus:Aedes flavivirus	Aedes	Aedes flavivirus :Aedes flavivirus:ssRNA(+):Aedes albopictus:GCF_000885715.1
Aedes flavivirus:Aedes flavivirus	Culex	Aedes flavivirus :Aedes flavivirus:ssRNA(+):Aedes albopictus:GCF_000885715.1
Aedes pseudoscutellaris reovirus:Aedes pseudoscutellaris reovirus	Aedes	Aedes pseudoscutellaris reovirus :Aedes pseudoscutellaris reovirus:dsRNA::GCF_000866085.1
Aeonium ringspot virus:Nepovirus aeonii	Aeonium	Aeonium ringspot virus :Nepovirus aeonii:ssRNA(+):Aeonium:GCF_002867145.1
Aeropyrum coil-shaped virus:Aeropyrum coil-shaped virus	Aeropyrum	Aeropyrum coil-shaped virus :Aeropyrum coil-shaped virus:ssDNA(+):Aeropyrum pernix:GCF_002987785.1
Aeropyrum globular virus 1:Aeropyrum globular virus 1	Aeropyrum	Aeropyrum globular virus 1 :Aeropyrum globular virus 1:dsDNA:Aeropyrum pernix:GCF_002890195.1
Aeropyrum pernix ovoid virus 1:Aeropyrum pernix ovoid virus 1	Aeropyrum	Aeropyrum pernix ovoid virus 1 :Aeropyrum pernix ovoid virus 1:dsDNA:Aeropyrum pernix K1:GCF_001440875.1
Aeropyrum pernix spindle-shaped virus 1:Aeropyrum pernix spindle-shaped virus 1	Aeropyrum	Aeropyrum pernix spindle-shaped virus 1 :Aeropyrum pernix spindle-shaped virus 1:dsDNA:Aeropyrum pernix K1:GCF_001441135.1
African cassava mosaic Burkina Faso virus:African cassava mosaic Burkina Faso virus	Manihot	African cassava mosaic Burkina Faso virus :African cassava mosaic Burkina Faso virus:ssDNA(+/-):Manihot esculenta:GCF_004786835.1
African eggplant mosaic virus:African eggplant mosaic virus	Solanum	African eggplant mosaic virus :African eggplant mosaic virus:ssRNA(+):Solanum aethiopicum:GCF_004788695.1
African eggplant yellowing virus:African eggplant yellowing virus	Capsicum	African eggplant yellowing virus :African eggplant yellowing virus:ssRNA(+):Solanum aethiopicum:GCF_002029515.1
African eggplant yellowing virus:African eggplant yellowing virus	Solanum	African eggplant yellowing virus :African eggplant yellowing virus:ssRNA(+):Solanum aethiopicum:GCF_002029515.1
African elephant polyomavirus 1:Betapolyomavirus elephanti	Loxodonta	African elephant polyomavirus 1 :Betapolyomavirus elephanti:dsDNA:Loxodonta africana:GCF_000911115.1
African green monkey polyomavirus:African green monkey polyomavirus	Macaca	African green monkey polyomavirus :African green monkey polyomavirus:dsDNA::GCF_000860565.1
African horse sickness virus:African horse sickness virus	Equus	African horse sickness virus :African horse sickness virus:dsRNA::GCF_000856125.1
African pouched rat arterivirus:Lambdaarterivirus afriporav	Cricetomys	African pouched rat arterivirus :Lambdaarterivirus afriporav:ssRNA(+):Cricetomys emini:GCF_000931135.1
African swine fever virus:African swine fever virus	Ixodida	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Ixodida	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Ixodida	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Ixodida	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Ixodida	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Ixodida	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Ixodidae	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Ixodidae	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Ixodidae	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Ixodidae	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Ixodidae	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Ixodidae	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Ixodoidea	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Ixodoidea	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Ixodoidea	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Ixodoidea	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Ixodoidea	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Ixodoidea	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Lucilia	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Lucilia	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Lucilia	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Lucilia	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Lucilia	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Lucilia	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Ornithodoros	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Ornithodoros	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Ornithodoros	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Ornithodoros	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Ornithodoros	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Ornithodoros	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Phacochoerus	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Phacochoerus	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Phacochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Phacochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Phacochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Phacochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Potamochoerus	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Potamochoerus	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Potamochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Potamochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Potamochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Potamochoerus	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
African swine fever virus:African swine fever virus	Stomoxys	African swine fever virus :African swine fever virus:dsDNA::GCF_003032905.1
African swine fever virus:African swine fever virus	Stomoxys	African swine fever virus :African swine fever virus:dsDNA::GCF_003032915.1
African swine fever virus:African swine fever virus	Stomoxys	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032865.1
African swine fever virus:African swine fever virus	Stomoxys	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003032885.1
African swine fever virus:African swine fever virus	Stomoxys	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa domesticus:GCF_003033005.1
African swine fever virus:African swine fever virus	Stomoxys	African swine fever virus :African swine fever virus:dsDNA:Sus scrofa:GCF_003032925.1
