Organism_name	Host_Class	Virus_Class	Host_genus	CAI	Host	median	CodonSum
Ribgrass mosaic virus :Ribgrass mosaic virus:ssRNA(+):Plantago major:GCF_000854645.1	eudicotyledons_Plant	RNA virus	Actinidia	0.690640965165978	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	3131
Tospovirus kiwifruit/YXW/2014 :Tospovirus kiwifruit/YXW/2014:ssRNA(+/-):Actinidia deliciosa:GCF_001675505.1	eudicotyledons_Plant	RNA virus	Actinidia	0.66864333587653	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	5054
Wheat dwarf virus :Wheat dwarf virus:ssDNA(+/-):Hordeum vulgare:GCF_002987285.1	Liliopsida_Plant	DNA virus	Aegilops	0.479511250198339	Aegilops_tauschii.Aet_v4.0	0.5504966	961
Wheat dwarf virus :Wheat dwarf virus:ssDNA(+/-):Triticum aestivum:GCF_000865525.1	Liliopsida_Plant	DNA virus	Aegilops	0.453329543005582	Aegilops_tauschii.Aet_v4.0	0.5504966	965
Anelloviridae sp. :Anelloviridae sp.:ssDNA(-)::GCF_004289775.1	other mammals	DNA virus	Ailuropoda	0.669962624476229	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	742
Anelloviridae sp. :Anelloviridae sp.:ssDNA(-)::GCF_004289975.1	other mammals	DNA virus	Ailuropoda	0.664861154704708	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	688
Anelloviridae sp. :Anelloviridae sp.:ssDNA(-)::GCF_004290675.1	other mammals	DNA virus	Ailuropoda	0.683291856691364	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	719
Anelloviridae sp. :Anelloviridae sp.:ssDNA(-)::GCF_004290895.1	other mammals	DNA virus	Ailuropoda	0.684070207146478	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	373
Giant panda anellovirus :Giant panda anellovirus:ssDNA(-)::GCF_002219365.1	other mammals	DNA virus	Ailuropoda	0.640415002733736	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	585
Giant panda anellovirus :Giant panda anellovirus:ssDNA(-)::GCF_018582865.1	other mammals	DNA virus	Ailuropoda	0.667113259389101	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	695
Giant panda anellovirus :Giant panda anellovirus:ssDNA(-)::GCF_018582875.1	other mammals	DNA virus	Ailuropoda	0.649901516744608	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	677
Giant panda anellovirus :Giant panda anellovirus:ssDNA(-)::GCF_018582895.1	other mammals	DNA virus	Ailuropoda	0.635064699855447	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	718
Giant panda anellovirus :Giant panda anellovirus:ssDNA(-)::GCF_018582915.1	other mammals	DNA virus	Ailuropoda	0.658349677778804	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	607
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_002219905.1	other mammals	DNA virus	Ailuropoda	0.701426199372574	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	829
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848725.1	other mammals	DNA virus	Ailuropoda	0.706166842887935	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	549
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848745.1	other mammals	DNA virus	Ailuropoda	0.697475703360248	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	821
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848765.1	other mammals	DNA virus	Ailuropoda	0.668057586322043	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	536
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848785.1	other mammals	DNA virus	Ailuropoda	0.689394531375791	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	859
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848845.1	other mammals	DNA virus	Ailuropoda	0.690780113521261	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	799
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848925.1	other mammals	DNA virus	Ailuropoda	0.693258119767203	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	850
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848945.1	other mammals	DNA virus	Ailuropoda	0.673850317600738	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	857
Giant panda associated gemycircularvirus :Giant panda associated gemycircularvirus:ssDNA::GCF_003848965.1	other mammals	DNA virus	Ailuropoda	0.693832105511537	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	880
Influenza A virus (A/California/07/2009(H1N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Homo sapiens:GCF_001343785.1	other mammals	RNA virus	Ailuropoda	0.661606027403719	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	4681
Influenza A virus (A/Puerto Rico/8/1934(H1N1)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000865725.1	other mammals	RNA virus	Ailuropoda	0.672375509056618	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	4789
Morbillivirus canis :Morbillivirus canis:ssRNA(-)::GCF_000854065.1	other mammals	RNA virus	Ailuropoda	0.646754161134616	Ailuropoda_melanoleuca.ASM200744v2	0.7411168	4989
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	bird	RNA virus	Amazona	0.532027159469421	Amazona_collaria.ASM394721v1	0.6182514	4621
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	bird	RNA virus	Amazona	0.519796643990339	Amazona_collaria.ASM394721v1	0.6182514	4576
Cacatuid alphaherpesvirus 2 :Cacatuid alphaherpesvirus 2:dsDNA:Amazona oratrix:GCF_027939225.1	bird	DNA virus	Amazona	0.507157102285795	Amazona_collaria.ASM394721v1	0.6182514	40370
Parrot bornavirus 2 :Orthobornavirus alphapsittaciforme:ssRNA(-):Aratinga solstitialis:GCF_002366345.1	bird	RNA virus	Amazona	0.481624591267111	Amazona_collaria.ASM394721v1	0.6182514	3014
Parrot bornavirus 4 :Orthobornavirus alphapsittaciforme:ssRNA(-):Ara ararauna:GCF_001430055.5	bird	RNA virus	Amazona	0.493467676788795	Amazona_collaria.ASM394721v1	0.6182514	3011
Parrot bornavirus 7 :Orthobornavirus alphapsittaciforme:ssRNA(-):Cacatua moluccensis:GCF_002366005.1	bird	RNA virus	Amazona	0.490393602944873	Amazona_collaria.ASM394721v1	0.6182514	3009
Psittacid alphaherpesvirus 1 :Iltovirus psittacidalpha1:dsDNA:Amazona oratrix:GCF_000840765.1	bird	DNA virus	Amazona	0.616496991536902	Amazona_collaria.ASM394721v1	0.6182514	42771
Psittacine adenovirus 3 :Psittacine atadenovirus A:dsDNA:Amazona farinosa:GCF_000929035.1	bird	DNA virus	Amazona	0.580630968316443	Amazona_collaria.ASM394721v1	0.6182514	9241
Lymphocystis disease virus 1 :Lymphocystis disease virus 1:dsDNA::GCF_000839605.1	fish	DNA virus	Amphiprion	0.283075089507315	Amphiprion_percula.Nemo_v1	0.57914255	31577
Pineapple bacilliform CO virus :Badnavirus alphananas:dsDNA-RT:Ananas comosus:GCF_000889415.1	Liliopsida_Plant	DNA virus	Ananas	0.622176236599213	Ananas_comosus.F153	0.64781345	2205
Pineapple mealybug wilt-associated virus 1 :Pineapple mealybug wilt-associated virus 1:ssRNA(+)::GCF_000872265.1	Liliopsida_Plant	RNA virus	Ananas	0.558262959584408	Ananas_comosus.F153	0.64781345	3645
Pineapple secovirus A :Sadwavirus alphananas:ssRNA(+):Ananas comosus:GCF_023156745.1	Liliopsida_Plant	RNA virus	Ananas	0.585374733044713	Ananas_comosus.F153	0.64781345	2984
Sugarcane mosaic virus :Sugarcane mosaic virus:ssRNA(+):Zea mays:GCF_000854025.1	Liliopsida_Plant	RNA virus	Ananas	0.536756571794658	Ananas_comosus.F153	0.64781345	3063
pineapple secovirus B :pineapple secovirus B:ssRNA(+):Ananas comosus:GCF_029888445.1	Liliopsida_Plant	RNA virus	Ananas	0.600456764491946	Ananas_comosus.F153	0.64781345	3016
Adeno-associated virus :Adeno-associated virus:ssDNA(+/-):Cairina moschata:GCF_004129875.1	bird	DNA virus	Anas	0.605752464732587	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1386
Anatid alphaherpesvirus 1 :Anatid alphaherpesvirus 1:dsDNA::GCF_008791745.1	bird	DNA virus	Anas	0.463983685401291	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	43130
Anatid alphaherpesvirus 1 :Anatid alphaherpesvirus 1:dsDNA:Anatidae:GCF_000885795.1	bird	DNA virus	Anas	0.464342183450238	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	42244
Avian metaavulavirus 6 :Metaavulavirus hongkongense:ssRNA(-):Anser:GCF_002815195.1	bird	RNA virus	Anas	0.501728346960612	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4812
Avian metaavulavirus 8 :Metaavulavirus delawarense:ssRNA(-):Branta canadensis:GCF_002815215.1	bird	RNA virus	Anas	0.466929535933887	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4593
Avian metapneumovirus :Metapneumovirus avis:ssRNA(-)::GCF_002989735.1	bird	RNA virus	Anas	0.490561959167144	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4289
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	bird	RNA virus	Anas	0.511961942366774	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4621
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	bird	RNA virus	Anas	0.499167271218763	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4576
Avian orthoavulavirus 9 :Orthoavulavirus newyorkense:ssRNA(-):Anas platyrhynchos:GCF_000926655.1	bird	RNA virus	Anas	0.47921839775277	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4612
Avian orthoreovirus :Avian orthoreovirus:dsRNA::GCF_000891595.1	bird	RNA virus	Anas	0.524808938605164	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	7356
Avian orthoreovirus :Avian orthoreovirus:dsRNA:Hypsipetes amaurotis:GCF_003092915.1	bird	RNA virus	Anas	0.535430269722483	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	7615
Avian paramyxovirus 4 :Paraavulavirus hongkongense:ssRNA(-):Anas platyrhynchos:GCF_002815175.1	bird	RNA virus	Anas	0.510569414916931	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4563
Avian paramyxovirus 4 :Paraavulavirus hongkongense:ssRNA(-):Anas rubripes:GCF_000901955.1	bird	RNA virus	Anas	0.500389508002427	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4565
Borna disease virus 1 :Orthobornavirus bornaense:ssRNA(-):Equus:GCF_002366305.1	bird	RNA virus	Anas	0.532083168870825	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	2911
Chestnut teal chaphamaparvovirus 1 :Chestnut teal chaphamaparvovirus 1:ssDNA(+/-):Anas castanea:GCF_029885285.1	bird	DNA virus	Anas	0.453866564139006	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1615
Chestnut teal chaphamaparvovirus 2 :Chestnut teal chaphamaparvovirus 2:ssDNA(+/-):Anas castanea:GCF_029885295.1	bird	DNA virus	Anas	0.446092548070233	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1581
Chestnut teal chaphamaparvovirus 3 :Chestnut teal chaphamaparvovirus 3:ssDNA(+/-):Anas castanea:GCF_029885305.1	bird	DNA virus	Anas	0.447397209900063	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1543
Chicken astrovirus :Chicken astrovirus:ssRNA(+)::GCF_000852205.1	bird	RNA virus	Anas	0.528162536088661	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	2195
Duck aalivirus 1 :Aalivirus A:ssRNA(+):Anas platyrhynchos:GCF_000919155.1	bird	RNA virus	Anas	0.547825111902794	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	2680
Duck associated cyclovirus 1 :Cyclovirus kacsa:ssDNA(+/-):Anas platyrhynchos:GCF_002194385.1	bird	DNA virus	Anas	0.532707616394292	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	578
Duck circovirus :Circovirus duck:ssDNA(+/-):Anas platyrhynchos:GCF_000864045.1	bird	DNA virus	Anas	0.559972381804894	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	761
Duck coronavirus :Avian coronavirus:ssRNA(+):Anatidae:GCF_012271565.1	bird	RNA virus	Anas	0.477816553783887	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	9036
Duck hepatitis A virus 1 :Avihepatovirus A:ssRNA(+)::GCF_000869945.1	bird	RNA virus	Anas	0.516138706256281	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	2249
Duck hepatitis B virus :Duck hepatitis B virus:dsDNA-RT::GCF_000847905.1	bird	DNA virus	Anas	0.476855296193702	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	3056
Duck-associated chapparvovirus 1 :Duck-associated chapparvovirus 1:ssDNA(+/-):Anas rubripes:GCF_029885885.1	bird	DNA virus	Anas	0.471913868576018	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1379
Duck-associated chapparvovirus 2 :Duck-associated chapparvovirus 2:ssDNA(+/-):Anas rubripes:GCF_029885895.1	bird	DNA virus	Anas	0.471334446028217	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1574
Faeces associated gemycircularvirus 14 :Gemygorvirus malas1:ssDNA:Anas platyrhynchos:GCF_001646535.1	bird	DNA virus	Anas	0.563132211520402	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	865
Fowl aviadenovirus D :Fowl aviadenovirus D:dsDNA::GCF_000844285.1	bird	DNA virus	Anas	0.585911731287452	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	11112
Fowl aviadenovirus D :Fowl aviadenovirus D:dsDNA::GCF_000886795.1	bird	DNA virus	Anas	0.574533496135573	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	10207
Gallid alphaherpesvirus 2 :Mardivirus gallidalpha2:dsDNA:Gallus gallus:GCF_000846265.1	bird	DNA virus	Anas	0.458559208471115	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	44305
Garrulus glandarius associated circular virus 1 :Garrulus glandarius associated circular virus 1:ssDNA(+/-):Garrulus glandarius:GCF_002219445.1	bird	DNA virus	Anas	0.487275342683389	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	562
Goose circovirus :Circovirus goose:ssDNA(+/-):Anser sp.:GCF_000837325.1	bird	DNA virus	Anas	0.514975815024557	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	762
Goose parvovirus :Dependoparvovirus anseriform1:ssDNA(+/-):Anser anser:GCF_000839685.1	bird	DNA virus	Anas	0.545581183684444	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1893
Infectious bronchitis virus :Avian coronavirus:ssRNA(+):Gallus gallus:GCF_012271575.1	bird	RNA virus	Anas	0.456373614601211	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	8795
Influenza A virus (A/California/07/2009(H1N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Homo sapiens:GCF_001343785.1	bird	RNA virus	Anas	0.507678670178267	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4681
Influenza A virus (A/Hong Kong/1073/99(H9N2)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000851145.1	bird	RNA virus	Anas	0.513883199447527	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4458
Influenza A virus (A/Korea/426/1968(H2N2)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000866645.1	bird	RNA virus	Anas	0.510792996432931	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4809
Influenza A virus (A/Puerto Rico/8/1934(H1N1)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000865725.1	bird	RNA virus	Anas	0.515571707090708	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4789
Influenza A virus (A/Shanghai/02/2013(H7N9)) :Alphainfluenzavirus influenzae:ssRNA(-):Homo sapiens:GCF_000928555.1	bird	RNA virus	Anas	0.520613488113212	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4783
Mallard associated gemycircularvirus 1 :Gemycircularvirus malas1:ssDNA:Anas platyrhynchos:GCF_000927855.1	bird	DNA virus	Anas	0.537809820755592	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	648
Mulard duck circovirus :Circovirus duck:ssDNA(+/-)::GCF_000849785.1	bird	DNA virus	Anas	0.580035452098463	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	549
Pacific black duck chaphamaparvovirus 1 :Pacific black duck chaphamaparvovirus 1:ssDNA(+/-):Anas superciliosa:GCF_029885275.1	bird	DNA virus	Anas	0.437867850210657	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1614
Parrot bornavirus 2 :Orthobornavirus alphapsittaciforme:ssRNA(-):Aratinga solstitialis:GCF_002366345.1	bird	RNA virus	Anas	0.459228901397572	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	3014
Parrot bornavirus 4 :Orthobornavirus alphapsittaciforme:ssRNA(-):Ara ararauna:GCF_001430055.5	bird	RNA virus	Anas	0.472202834684551	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	3011
Reticuloendotheliosis virus :Reticuloendotheliosis virus:ssRNA-RT:Gallus gallus:GCF_000858025.1	bird	RNA virus	Anas	0.537856630270478	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1084
Ross's goose hepatitis B virus :Duck hepatitis B virus:dsDNA-RT::GCF_000845305.1	bird	DNA virus	Anas	0.492126695880449	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	1417
Tembusu virus :Orthoflavivirus tembusu:ssRNA(+):Anatidae:GCF_000894755.1	bird	RNA virus	Anas	0.549093052344258	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	3425
Turkey astrovirus 2 :Avastrovirus 3:ssRNA(+)::GCF_000856205.1	bird	RNA virus	Anas	0.50972646910309	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	3487
Usutu virus :Orthoflavivirus usutuense:ssRNA(+)::GCF_000854945.1	bird	RNA virus	Anas	0.580825741217795	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4631
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000861085.1	bird	RNA virus	Anas	0.585278554765654	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4621
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000875385.1	bird	RNA virus	Anas	0.583870836423299	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	7181
avian paramyxovirus 16 :Orthoavulavirus upoense:ssRNA(-):Anas platyrhynchos:GCF_003032675.1	bird	RNA virus	Anas	0.494559537431646	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	4625
megrivirus A2 :Megrivirus A:ssRNA(+):Anas platyrhynchos:GCF_000920755.1	bird	RNA virus	Anas	0.544339909015607	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	2839
Avian metaavulavirus 6 :Metaavulavirus hongkongense:ssRNA(-):Anser:GCF_002815195.1	bird	RNA virus	Anser	0.507786104199432	Anser_cygnoides.GooseV1.0	0.5967326	4812
Avian metaavulavirus 8 :Metaavulavirus delawarense:ssRNA(-):Branta canadensis:GCF_002815215.1	bird	RNA virus	Anser	0.474571364526715	Anser_cygnoides.GooseV1.0	0.5967326	4593
Avian metapneumovirus :Metapneumovirus avis:ssRNA(-)::GCF_002989735.1	bird	RNA virus	Anser	0.496512940299489	Anser_cygnoides.GooseV1.0	0.5967326	4289
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	bird	RNA virus	Anser	0.52011182463113	Anser_cygnoides.GooseV1.0	0.5967326	4621
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	bird	RNA virus	Anser	0.506447974535563	Anser_cygnoides.GooseV1.0	0.5967326	4576
Avian paramyxovirus 4 :Paraavulavirus hongkongense:ssRNA(-):Anas platyrhynchos:GCF_002815175.1	bird	RNA virus	Anser	0.517160220930559	Anser_cygnoides.GooseV1.0	0.5967326	4563
Avian paramyxovirus 4 :Paraavulavirus hongkongense:ssRNA(-):Anas rubripes:GCF_000901955.1	bird	RNA virus	Anser	0.507219717096191	Anser_cygnoides.GooseV1.0	0.5967326	4565
Duck associated cyclovirus 1 :Cyclovirus kacsa:ssDNA(+/-):Anas platyrhynchos:GCF_002194385.1	bird	DNA virus	Anser	0.536132478102235	Anser_cygnoides.GooseV1.0	0.5967326	578
Duck atadenovirus A :Duck atadenovirus A:dsDNA::GCF_000845945.1	bird	DNA virus	Anser	0.484079284536499	Anser_cygnoides.GooseV1.0	0.5967326	9891
Duck atadenovirus A :Duck atadenovirus A:dsDNA::GCF_000886775.1	bird	DNA virus	Anser	0.484568513345991	Anser_cygnoides.GooseV1.0	0.5967326	9576
Duck coronavirus :Avian coronavirus:ssRNA(+):Anatidae:GCF_012271565.1	bird	RNA virus	Anser	0.491236192227235	Anser_cygnoides.GooseV1.0	0.5967326	9036
Duck hepatitis A virus 1 :Avihepatovirus A:ssRNA(+)::GCF_000869945.1	bird	RNA virus	Anser	0.524642312358399	Anser_cygnoides.GooseV1.0	0.5967326	2249
Duck hepatitis B virus :Duck hepatitis B virus:dsDNA-RT::GCF_000847905.1	bird	DNA virus	Anser	0.488173327223231	Anser_cygnoides.GooseV1.0	0.5967326	3056
Gallid alphaherpesvirus 2 :Mardivirus gallidalpha2:dsDNA:Gallus gallus:GCF_000846265.1	bird	DNA virus	Anser	0.467531979087999	Anser_cygnoides.GooseV1.0	0.5967326	44305
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_003656345.1	bird	DNA virus	Anser	0.579171909247151	Anser_cygnoides.GooseV1.0	0.5967326	738
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_003846465.1	bird	DNA virus	Anser	0.561016567065562	Anser_cygnoides.GooseV1.0	0.5967326	822
