Host	median	low	high
Camarhynchus_parvulus.Camarhynchus_parvulus_V1.1	0.5472158	0.378029955	0.776053895
Camelina_sativa.Cs	0.6060464	0.54567675	0.691790275
Camelus_dromedarius.CamDro2	0.7268663	0.60748116	0.82722886
Canis_lupus_dingo.ASM325472v1	0.7377697	0.65223477	0.8127805425
Canis_lupus_familiaris.ROS_Cfam_1.0	0.7363352	0.652125925	0.80966714
Canis_lupus_familiarisbasenji.Basenji_breed-1.1	0.731073	0.64835285	0.809710765
Canis_lupus_familiarisboxer.Dog10K_Boxer_Tasha	0.73763715	0.652831245	0.81218587
Canis_lupus_familiarisgreatdane.UMICH_Zoey_3.1	0.73130935	0.647226875	0.810230515
Canis_lupus_familiarisgsd.UU_Cfam_GSD_1.0	0.7372311	0.652453365	0.811922645
Capra_hircus.ARS1	0.7424067	0.646511755	0.824660545
Capra_hircus_blackbengal.CVASU_BBG_1.0	0.7392107	0.6542826	0.81493565
Capsicum_annuum.ASM51225v2	0.6909045	0.62593282	0.7550884
Carassius_auratus.ASM336829v1	0.61033565	0.4723137275	0.726243235
Carlito_syrichta.Tarsius_syrichta-2.0.1	0.7198725	0.61404197	0.81820924
Castor_canadensis.C.can_genome_v1.0	0.7335056	0.635655625	0.81925148
Catagonus_wagneri.CatWag_v2_BIUU_UCD	0.732255	0.6132864	0.831754575
Catharus_ustulatus.bCatUst1.pri	0.5560558	0.391490005	0.77676614
Cavia_aperea.CavAp1.0	0.74549635	0.626233625	0.8285197625
Cavia_porcellus.Cavpor3.0	0.7198359	0.600899675	0.8173243375
Cebus_imitator.Cebus_imitator-1.0	0.7421536	0.642735625	0.830863055
Cercocebus_atys.Caty_1.0	0.7294411	0.63306924	0.81789406
Cervus_hanglu_yarkandensis.CEY_v1	0.7350222	0.6402414	0.81481622
Chelonoidis_abingdonii.ASM359739v1	0.7018394	0.6145570825	0.808163415
Chelydra_serpentina.Chelydra_serpentina-1.0	0.7109364	0.63384714	0.80847347
Chenopodium_quinoa.ASM168347v1	0.6114285	0.53870117	0.68929801
Chinchilla_lanigera.ChiLan1.0	0.7132461	0.58495767	0.817939965
Chlorocebus_sabaeus.ChlSab1.1	0.69865475	0.58201254	0.80468559
Choloepus_hoffmanni.choHof1	0.7552717	0.68854974	0.82799872
Chrysemys_picta_bellii.Chrysemys_picta_bellii-3.0.3	0.6942253	0.6092634825	0.8030606525
Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0	0.63952795	0.5354187875	0.7931714725
Citrullus_lanatus.Cla97_v1	0.7015634	0.63415155	0.762362235
Citrus_clementina.Citrus_clementina_v1.0	0.6889305	0.6333449525	0.7527321
Clupea_harengus.Ch_v2.0.2	0.6140282	0.47289088	0.7370745625
Coffea_canephora.AUK_PRJEB4211_v1	0.6946958	0.639423815	0.75238731
Colobus_angolensis_palliatus.Cang.pa_1.0	0.7290632	0.627213825	0.822315225
Corchorus_capsularis.CCACVL1_1.0	0.6493022	0.578935525	0.72320155
Corvus_moneduloides.bCorMon1.pri	0.5700083	0.418852395	0.774936065
Corylus_avellana.CavTom2PMs-1.0	0.70512285	0.6544941875	0.7738953225
Cottoperca_gobio.fCotGob3.1	0.6012316	0.484938945	0.71789665
Coturnix_japonica.Coturnix_japonica_2.0	0.6345688	0.5180900025	0.78988971
Cricetulus_griseus_chok1gshd.CHOK1GS_HDv1	0.72639725	0.63638253	0.806136125
Cricetulus_griseus_crigri.CriGri_1.0	0.7352361	0.648693405	0.80991442
Cricetulus_griseus_picr.CriGri-PICRH-1.0	0.7285687	0.6391348	0.807300145
Crocodylus_porosus.CroPor_comp1	0.6373828	0.552979165	0.78602425
Cucumis_melo.Melonv4	0.6971013	0.62234865	0.758905355
Cucumis_sativus.ASM407v2	0.69370545	0.6234453475	0.7568416725
Cyanistes_caeruleus.cyaCae2	0.58724655	0.4538942775	0.784544425
Cyclopterus_lumpus.fCycLum1.pri	0.6020471	0.4749508	0.7389301
Cynara_cardunculus.CcrdV1	0.69909845	0.6404788175	0.754976455
Cynoglossus_semilaevis.Cse_v1.0	0.6400749	0.543927925	0.742339975
Cyprinodon_variegatus.C_variegatus-1.0	0.6082459	0.49445672	0.73253714
Cyprinus_carpio_carpio.Cypcar_WagV4.0	0.59377935	0.4863766875	0.7095158375
Cyprinus_carpio_germanmirror.German_Mirror_carp_1.0	0.5890128	0.4785463625	0.704498975
Cyprinus_carpio_hebaored.Hebao_red_carp_1.0	0.6106177	0.509021375	0.721551775
Cyprinus_carpio_huanghe.Hunaghe_carp_2.0	0.5921311	0.479076215	0.70864757
Danio_rerio.GRCz11	0.5870438	0.48305116	0.71020798
Dasypus_novemcinctus.Dasnov3.0	0.7426542	0.66426906	0.819642575
Daucus_carota.ASM162521v1	0.6842197	0.6245084	0.75138125
Delphinapterus_leucas.ASM228892v3	0.740381	0.641337435	0.826086275
Denticeps_clupeoides.fDenClu1.1	0.58468145	0.4463972275	0.741779265
Dicentrarchus_labrax.dlabrax2021	0.56472375	0.4415196575	0.685566385
Digitaria_exilis.Fonio_CM05836	0.603202	0.42231831	0.79882781
Dipodomys_ordii.Dord_2.0	0.7163456	0.623343385	0.8031363025
Dromaius_novaehollandiae.droNov1	0.6578129	0.570537625	0.79421895
Echeneis_naucrates.fEcheNa1.1	0.5956131	0.49716909	0.71484701
Echinops_telfairi.TENREC	0.70950085	0.59341416	0.8245350975
Electrophorus_electricus.Ee_SOAP_WITH_SSPACE	0.6383302	0.516725355	0.7406451525
Eptatretus_burgeri.Eburgeri_3.2	0.7371704	0.669973705	0.796124675
Eptesicus_fuscus.GCF_027574615.1_DD_ASM_mEF_20220401	0.7286298	0.613143985	0.82611599
Equus_asinus.ASM1607732v2	0.69012395	0.566522155	0.80935105
Equus_caballus.EquCab3.0	0.66465775	0.52152136	0.8010174125
Eragrostis_curvula.CERZOS_E.curvula1.0	0.57699785	0.427004005	0.80175087
Eragrostis_tef.Salk_teff_dabbi_3.0	0.58971405	0.4335361525	0.813546695
Erinaceus_europaeus.HEDGEHOG	0.6975323	0.577500775	0.818131775
Erpetoichthys_calabaricus.fErpCal1.1	0.7503019	0.68057478	0.80644334
Erythrura_gouldiae.GouldianFinch	0.5536421	0.39863696	0.7650454275
Esox_lucius.Eluc_v4	0.6206081	0.496953725	0.722889705
Eucalyptus_grandis.Egrandis1_0	0.66903865	0.578556525	0.8166507325
Eutrema_salsugineum.Eutsalg1_0	0.6404908	0.58341498	0.72152928
Falco_tinnunculus.FalTin1.0	0.6731003	0.57505151	0.81449978
Felis_catus.Felis_catus_9.0	0.7402879	0.64993195	0.821263765
Ficedula_albicollis.FicAlb1.5	0.5711499	0.4200124	0.77991025
Ficus_carica.UNIPI_FiCari_1.0	0.6567906	0.59054293	0.763263845
Fraxinus_excelsior.BATG-0.5	0.7104758	0.65990105	0.765172
Fukomys_damarensis.DMR_v1.0	0.7356611	0.6297775275	0.822465475
Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2	0.565148	0.4107558	0.7191492
Gadus_morhua.gadMor3.0	0.625124	0.4230100575	0.76715611
Gallus_gallus.bGalGal1.mat.broiler.GRCg7b	0.64822305	0.533134045	0.797436545
Gallus_gallus_gca000002315v5.GRCg6a	0.64892305	0.532145525	0.803265345
Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w	0.6367199	0.51913807	0.795630525
Gambusia_affinis.ASM309773v1	0.5854202	0.46142041	0.7227830975
Gasterosteus_aculeatus.BROADS1	0.6002529	0.46197215	0.74155785
Geospiza_fortis.GeoFor_1.0	0.5689074	0.42883643	0.78086693
Glycine_max.Glycine_max_v2.1	0.7004168	0.6382682	0.77082656
Gopherus_agassizii.ASM289641v1	0.7082556	0.624558195	0.8144330725
Gopherus_evgoodei.rGopEvg1_v1.p	0.6937398	0.610520925	0.79926115
Gorilla_gorilla.gorGor4	0.7335136	0.63804184	0.82248572
Gossypium_raimondii.Graimondii2_0_v6	0.684048	0.62345055	0.7466186875
Gouania_willdenowi.fGouWil2.1	0.6248058	0.49432222	0.73658593
Haplochromis_burtoni.AstBur1.0	0.5680701	0.4600141125	0.68379365
Heterocephalus_glaber_female.Naked_mole-rat_maternal	0.7510824	0.66780615	0.82382615
Heterocephalus_glaber_male.Naked_mole-rat_paternal	0.749774	0.66642174	0.82331481
Hippocampus_comes.H_comes_QL1_v1	0.5944888	0.47491503	0.73256849
Hipposideros_armiger.GCF_001890085.2_ASM189008v1	0.7194554	0.607561	0.8145647
Homo_sapiens.GRCh38	0.7060051	0.59245156	0.81804218
Hordeum_vulgare_tritex.Morex_V2_scaf	0.510988	0.33074765	0.787761695
Hucho_hucho.ASM331708v1	0.60243715	0.4588423675	0.718054705
Ictalurus_punctatus.IpCoco_1.2	0.5796679	0.46068835	0.693000725
Ictidomys_tridecemlineatus.SpeTri2.0	0.76454955	0.688559675	0.82769814
Ipomoea_triloba.ASM357664v1	0.6864211	0.62300601	0.7597409025
Jaculus_jaculus.JacJac1.0	0.7175368	0.60679159	0.8090709375
Juglans_regia.Walnut_2.0	0.7069607	0.658588575	0.762609565
Junco_hyemalis.ASM382977v1	0.5535255	0.38600343	0.766078435
Kalanchoe_fedtschenkoi.K_fedtschenkoi_M2_v1	0.68399425	0.6113856075	0.7794538525
Kryptolebias_marmoratus.ASM164957v1	0.5960176	0.458225525	0.728589775
Labrus_bergylta.BallGen_V1	0.5763603	0.45196782	0.70889666
Larimichthys_crocea.L_crocea_2.0	0.54868615	0.4242697725	0.6802552875
Lates_calcarifer.ASB_HGAPassembly_v1	0.5649155	0.4436644725	0.69050103
Laticauda_laticaudata.latLat_1.0	0.7703849	0.706232795	0.82021497
Latimeria_chalumnae.LatCha1	0.66659795	0.5972406625	0.746917145
Leersia_perrieri.Lperr_V1.4	0.581002	0.419074745	0.805327865
Lepidothrix_coronata.Lepidothrix_coronata-1.0	0.5724336	0.42433935	0.78563395
Lepisosteus_oculatus.LepOcu1	0.5401085	0.383945275	0.74122175
Leptobrachium_leishanense.ASM966780v1	0.7031991	0.60399148	0.7879714
Lolium_perenne.MPB_Lper_Kyuss_1697	0.56223395	0.3860624475	0.7945974125
Lonchura_striata_domestica.LonStrDom1	0.5592273	0.4027186	0.77787662
Loxodonta_africana.loxAfr3	0.7386789	0.65100095	0.8220958
Lupinus_angustifolius.LupAngTanjil_v1.0	0.6754027	0.60801192	0.74784327
Lynx_canadensis.mLynCan4_v1.p	0.72839015	0.63478389	0.812945515
Macaca_fascicularis.Macaca_fascicularis_6.0	0.71984075	0.619839635	0.817813625
Macaca_mulatta.Mmul_10	0.7003338	0.5916386475	0.8086606225
Macaca_nemestrina.Mnem_1.0	0.72576155	0.6258700725	0.818063215
Malurus_cyaneus_samueli.mCya_1.0	0.6090564	0.46384502	0.793744005
Manacus_vitellinus.ASM171598v2	0.57709335	0.43304787	0.79073064
Mandrillus_leucophaeus.Mleu.le_1.0	0.7327792	0.634101425	0.825354185
Manihot_esculenta.Manihot_esculenta_v6	0.7009834	0.63694314	0.75753782
Marchantia_polymorpha.Marchanta_polymorpha_v1	0.5894453	0.5195024675	0.72264473
Marmota_marmota_marmota.marMar2.1	0.7526276	0.66572954	0.82281585
Mastacembelus_armatus.fMasArm1.2	0.59827	0.4823317375	0.7082402775
Maylandia_zebra.M_zebra_UMD2a	0.56445095	0.4463309525	0.6870580475
Medicago_truncatula.MedtrA17_4.0	0.6650382	0.5767697875	0.7488657425
Meleagris_gallopavo.Turkey_5.1	0.6474694	0.54349747	0.78784667
Melopsittacus_undulatus.bMelUnd1.mat.Z	0.6214699	0.5026594625	0.7927469175
Meriones_unguiculatus.MunDraft-v1.0	0.7242291	0.61822891	0.8111785525
Mesocricetus_auratus.MesAur1.0	0.7064907	0.6028330525	0.7941208075
Microcebus_murinus.Mmur_3.0	0.74832275	0.661251945	0.8243148225
Microtus_ochrogaster.MicOch1.0	0.69788115	0.5914810025	0.7885428775
Mola_mola.ASM169857v1	0.6055661	0.497062285	0.7208398
Molossus_molossus.GCF_014108415.1_mMolMol1.p	0.7496033	0.65324714	0.83139295
Monodelphis_domestica.ASM229v1	0.7434938	0.643068325	0.812029175
Monodon_monoceros.NGI_Narwhal_1	0.7429663	0.6390319	0.8297548
Monopterus_albus.M_albus_1.0	0.61486945	0.503752075	0.715016425
Moschus_moschiferus.MosMos_v2_BIUU_UCD	0.73327	0.6289946475	0.8214100525
Mus_caroli.CAROLI_EIJ_v1.1	0.6649157	0.5501944125	0.77169155
Mus_musculus.GRCm39	0.67838975	0.5659981425	0.791797935
Mus_pahari.PAHARI_EIJ_v1.1	0.6769784	0.563867075	0.782423275
Mus_spicilegus.MUSP714	0.6977524	0.594374315	0.7886688525
Mus_spretus.SPRET_EiJ_v1	0.6890821	0.579292585	0.787992555
Musa_acuminata.Musa_acuminata_v2	0.7308471	0.6410427	0.8450592
Mustela_putorius_furo.MusPutFur1.0	0.7393038	0.64071901	0.824216185
Myotis_brandtii.GCF_000412655.1_ASM41265v1	0.70218195	0.572276	0.8139514125
Myotis_daubentonii.GCF_963259705.1_mMyoDau2.1	0.7068159	0.5739456	0.820152905
Myotis_lucifugus.Myoluc2.0	0.72753245	0.61684114	0.8228283975
Myripristis_murdjan.fMyrMur1.1	0.5562227	0.4200873925	0.70537777
Naja_naja.Nana_v5	0.7554726	0.6933055	0.8134847
Nannospalax_galili.S.galili_v1.0	0.73773435	0.64437692	0.814889145
Neogobius_melanostomus.RGoby_Basel_V2	0.61459405	0.48594712	0.75374745
Neolamprologus_brichardi.NeoBri1.0	0.5697222	0.461047	0.68416125
Neovison_vison.NNQGG.v01	0.733355	0.63042537	0.821298555
Nicotiana_attenuata.NIATTr2	0.68266725	0.618779305	0.7438127725
Nomascus_leucogenys.Nleu_3.0	0.71685325	0.6148118575	0.815616125
Notamacropus_eugenii.Meug_1.0	0.73655895	0.6584681625	0.8102071125
Notechis_scutatus.TS10Xv2-PRI	0.75530255	0.6878003325	0.8125257075
Nothobranchius_furzeri.Nfu_20140520	0.62879575	0.496139795	0.73168608
Nothoprocta_perdicaria.notPer1	0.5586461	0.420231345	0.797795785
Numida_meleagris.NumMel1.0	0.6419907	0.528843555	0.795381585
Nymphaea_colorata.ASM883128v1	0.74561285	0.68600418	0.808528115
Ochotona_princeps.OchPri2.0-Ens	0.5846228	0.3976214175	0.7526385125
Octodon_degus.OctDeg1.0	0.7127019	0.591090815	0.817251145
Olea_europaea.OLEA9	0.70314085	0.6444145525	0.7611039775
Olea_europaea_sylvestris.O_europaea_v1	0.7092858	0.6494179125	0.7649701125
Oncorhynchus_kisutch.Okis_V2	0.61141225	0.4736290675	0.726490475
Oncorhynchus_mykiss.USDA_OmykA_1.1	0.60159395	0.4566377925	0.719646305
Oncorhynchus_tshawytscha.Otsh_v1.0	0.60734835	0.47213	0.7178685
Oreochromis_aureus.ASM587006v1	0.5593028	0.44609088	0.68071818
Oreochromis_niloticus.O_niloticus_UMD_NMBU	0.5620095	0.41907325	0.6795350875
Ornithorhynchus_anatinus.mOrnAna1.p.v1	0.5940591	0.39801144	0.79644227
Oryctolagus_cuniculus.OryCun2.0	0.6614951	0.51028493	0.815263935
Oryza_barthii.O.barthii_v1	0.55119885	0.39098527	0.81972478
Oryza_brachyantha.Oryza_brachyantha.v1.4b	0.5703624	0.41780795	0.83394795
Oryza_glaberrima.Oryza_glaberrima_V1	0.54874145	0.366813895	0.8186665275
Oryza_glumipatula.Oryza_glumaepatula_v1.5	0.55256515	0.3813366375	0.8133618275
Oryza_longistaminata.O_longistaminata_v1.0	0.5325783	0.40088075	0.82309308
Oryza_meridionalis.Oryza_meridionalis_v1.3	0.545368	0.359909275	0.81422545
Oryza_nivara.Oryza_nivara_v1.0	0.5621753	0.39591536	0.8135077
Oryza_punctata.Oryza_punctata_v1.2	0.5758351	0.4069978	0.8208567
Oryza_rufipogon.OR_W1943	0.54961225	0.379431155	0.8153133825
Oryzias_javanicus.OJAV_1.1	0.6145211	0.47423224	0.7496881
Oryzias_latipes.ASM223467v1	0.6215835	0.483744515	0.742971785
Oryzias_latipes_hni.ASM223471v1	0.6244837	0.495524155	0.743299225
Oryzias_latipes_hsok.ASM223469v1	0.6204874	0.49525325	0.74171625
Oryzias_melastigma.Om_v0.7.RACA	0.62327425	0.48951162	0.7514230075
Oryzias_sinensis.ASM858656v1	0.6204946	0.4989877525	0.7410089475
Otolemur_garnettii.OtoGar3	0.76176905	0.6831562375	0.8215436
Otus_sunia.OtuSun1.0	0.6245178	0.5204814475	0.7994433375
Ovis_aries.Oar_v3.1	0.75303115	0.667944645	0.825542875
Ovis_aries_rambouillet.ARS-UI_Ramb_v2.0	0.7353137	0.63243935	0.828229805
Pan_paniscus.panpan1.1	0.7367061	0.6407504875	0.8254694875
Pan_troglodytes.Pan_tro_3.0	0.7298521	0.6257538375	0.8273352825
Panthera_leo.PanLeo1.0	0.740234	0.65029878	0.822074715
Panthera_pardus.PanPar1.0	0.7468723	0.662641	0.823696175
Panthera_tigris_altaica.PanTig1.0	0.7371017	0.64083213	0.8228968
Papaver_somniferum.ASM357369v1	0.6388874	0.56733138	0.728820735
Papio_anubis.Panubis1.0	0.7177828	0.6236230225	0.8120986625
Parambassis_ranga.fParRan2.1	0.5880745	0.47754937	0.7191717075
Paramormyrops_kingsleyae.PKINGS_0.1	0.6056896	0.450927445	0.7181766
Parus_major.Parus_major1.1	0.5780231	0.43275042	0.77786928
Pavo_cristatus.AIIM_Pcri_1.0	0.6443882	0.5198336	0.7944921125
Pelodiscus_sinensis.PelSin_1.0	0.69089745	0.613093045	0.794747105
Pelusios_castaneus.Pelusios_castaneus-1.0	0.6957542	0.609764245	0.8023391575
Periophthalmus_magnuspinnatus.PM.fa	0.62444335	0.5079157925	0.74544749
Peromyscus_maniculatus_bairdii.HU_Pman_2.1	0.7084831	0.6023838575	0.8004013075
Petromyzon_marinus.Pmarinus_7.0	0.6130553	0.4164916	0.7818409
Phascolarctos_cinereus.phaCin_unsw_v4.1	0.7473781	0.66927386	0.81633938
Phaseolus_vulgaris.PhaVulg1_0	0.69600965	0.637796695	0.7678202
Phasianus_colchicus.ASM414374v1	0.6603612	0.55017998	0.80003964
Phocoena_sinus.mPhoSin1.pri	0.7454857	0.6420424675	0.833314075
Phyllostomus_discolor.GCF_004126475.2_mPhyDis1.pri.v3	0.7232802	0.605341425	0.8243755125
Phyllostomus_hastatus.GCF_019186645.2_TTU_PhHast_1.1	0.7207849	0.6007707	0.8254005625
Physcomitrium_patens.Phypa_V3	0.5991241	0.4851160125	0.74536666
Physeter_catodon.ASM283717v2	0.7385065	0.6363624	0.8286293
Piliocolobus_tephrosceles.ASM277652v2	0.7209432	0.55270153	0.814492555
Pistacia_vera.PisVer_v2	0.6867232	0.62747975	0.751691325
Pisum_sativum.Pisum_sativum_v1a	0.6719279	0.57633536	0.76048172
Podarcis_muralis.PodMur_1.0	0.71593875	0.642440235	0.7984485375
Poecilia_formosa.PoeFor_5.1.2	0.5857329	0.46289282	0.72228748
Poecilia_latipinna.P_latipinna-1.0	0.58291395	0.45018614	0.7202121175
Poecilia_mexicana.P_mexicana-1.0	0.58044	0.45008395	0.71703843
Poecilia_reticulata.Guppy_female_1.0_MT	0.5843166	0.452310975	0.722087824999999
Pogona_vitticeps.pvi1.1	0.742684	0.68298716	0.80723782
Pongo_abelii.Susie_PABv2	0.71988135	0.617635885	0.816118225
Populus_trichocarpa.Pop_tri_v4	0.67802075	0.613593375	0.74477326
Procavia_capensis.proCap1	0.6889506	0.564235925	0.7943257675
Prolemur_simus.Prosim_1.0	0.7420329	0.6536539	0.820597785
Propithecus_coquereli.Pcoq_1.0	0.74572965	0.6546742225	0.82540021
Prunus_dulcis.ALMONDv2	0.6850733	0.6298328	0.7582573
Prunus_persica.Prunus_persica_NCBIv2	0.68365975	0.62613984	0.7599364925
Pseudonaja_textilis.EBS10Xv2-PRI	0.74742045	0.6854768525	0.804762545
Pteropus_vampyrus.pteVam1	0.70742725	0.5960183125	0.8085770125
Pundamilia_nyererei.PunNye1.0	0.5626361	0.45099135	0.67997545
Pygocentrus_nattereri.Pygocentrus_nattereri-1.0.2	0.606467	0.488927175	0.71455181
Quercus_suber.CorkOak1.0	0.6988101	0.63487186	0.76798434
Rattus_norvegicus.mRatBN7.2	0.7065092	0.6103100825	0.79469021
Rattus_norvegicus_shrspbbbutx.UTH_Rnor_SHRSP_BbbUtx_1.0	0.7084885	0.61122915	0.7935545375
Rattus_norvegicus_shrutx.UTH_Rnor_SHR_Utx	0.7089176	0.6099019525	0.7945615675
Rattus_norvegicus_wkybbb.UTH_Rnor_WKY_Bbb_1.0	0.7091324	0.611743545	0.79459682
Rhinolophus_ferrumequinum.mRhiFer1_v1.p	0.73509875	0.632547825	0.8226978275
Rhinopithecus_bieti.ASM169854v1	0.7335273	0.635158805	0.823063325
Rhinopithecus_roxellana.Rrox_v1	0.72773535	0.628404795	0.8189554
Rosa_chinensis.RchiOBHm-V2	0.6407613	0.56877223	0.7464024
Saccharum_spontaneum.Sspon.HiC_chr_asm	0.58164975	0.4256912725	0.811127265
Saimiri_boliviensis_boliviensis.SaiBol1.0	0.7369877	0.649542225	0.81678723
Salarias_fasciatus.fSalaFa1.1	0.57762495	0.407058975	0.738557775
Salmo_salar.Ssal_v3.1	0.60275405	0.4666901875	0.71210613
Salmo_trutta.fSalTru1.1	0.5936061	0.455747865	0.70364375
Salvator_merianae.HLtupMer3	0.74846965	0.6933499575	0.80182778
Sander_lucioperca.SLUC_FBN_1	0.5681884	0.4476860375	0.685802375
Sarcophilus_harrisii.mSarHar1.11	0.7388028	0.668091165	0.809427645
Sciurus_vulgaris.mSciVul1.1	0.7529582	0.67037272	0.82222834
Scleropages_formosus.fSclFor1.1	0.6557462	0.54004699	0.74528607
Scophthalmus_maximus.ASM1334776v1	0.56850175	0.44452058	0.699065445
Secale_cereale.Rye_Lo7_2018_v1p1p1	0.5489568	0.342749705	0.80463934
Selaginella_moellendorffii.v1.0	0.56462295	0.4311770875	0.769943275
Serinus_canaria.SCA1	0.568529	0.4313024375	0.758303305
Seriola_dumerili.Sdu_1.0	0.5789799	0.466425625	0.69949225
Seriola_lalandi_dorsalis.Sedor1	0.5714236	0.45154564	0.70174788
Sesamum_indicum.S_indicum_v1.0	0.7026551	0.6482564	0.75808438
Setaria_italica.Setaria_italica_v2.0	0.5472874	0.371872	0.80216466
Setaria_viridis.Setaria_viridis_v2.0	0.5451296	0.36241814	0.80595096
Sinocyclocheilus_anshuiensis.SAMN03320099.WGS_v1.1	0.5964968	0.50354881	0.697767015
Sinocyclocheilus_grahami.SAMN03320097.WGS_v1.1	0.60322645	0.5107184925	0.70384395
Sinocyclocheilus_rhinocerous.SAMN03320098_v1.1	0.59823835	0.501462595	0.7024748575
Solanum_lycopersicum.SL3.0	0.6674051	0.575537885	0.7293327625
Solanum_tuberosum.SolTub_3.0	0.6543678	0.564494725	0.7279112875
Solanum_tuberosum_rh8903916.ASM1418947v1	0.6680326	0.591070045	0.73436902
Sorex_araneus.COMMON_SHREW1	0.6131691	0.473308225	0.7949318
Sorghum_bicolor.Sorghum_bicolor_NCBIv3	0.5805554	0.41217659	0.810580755
Sparus_aurata.fSpaAur1.1	0.57485615	0.4508645775	0.6901935825
Spermophilus_dauricus.ASM240643v1	0.75291	0.6776577	0.81942905
Sphaeramia_orbicularis.fSphaOr1.1	0.59242965	0.4879509125	0.708325275
