Geneid,Length,mono_Ctrl_1,mono_Ctrl_2,mono_XS1_1,mono_XS1_2,mono_XS2_1,mono_XS2_2,mono_XS4_1,mono_XS4_2
ENSG00000162482,993,118.1,155.5,128.76,159.05,98.88,126.26,110.82,126.87
ENSG00000236782,189,0,0,0,0,0,0,0,0
ENSG00000215910,4432,6,13,11.5,11,10,12,6,12
ENSG00000116663,879,144.5,162,180,200.5,154.5,202.5,144,227
ENSG00000215695,1851,20,20,29,18,23,28,21,23
ENSG00000215906,1638,0,0,2,1,0,0,0,0
ENSG00000188822,1080,1,0,0,0,0,0,0,0
ENSG00000090273,1086,6808.5,8509.83,7761.33,8637.5,6367.5,9046.16,6783.5,10008
ENSG00000227868,464,4,4,8,9,10,19,1,14
ENSG00000142751,961,774.5,918,916,1078,822,1122,851,1383.5
ENSG00000189266,585,798.83,919.33,866.83,930.25,729.75,1073.08,765.08,1123.92
ENSG00000162511,786,2,1,1,1,0,1,1,1
ENSG00000158014,1116,18,12,19,22,13,17,10,25
ENSG00000204138,2287,983.62,1140.11,1002.61,1039.5,814.5,1175.5,838.5,1167
ENSG00000142675,2232,7,9.5,5,9,3,13,6,13.14
ENSG00000197245,813,8,11,9,9,8,6,5,5
ENSG00000116237,916,1434,1653,1534.5,1742,1204.5,1708.33,1229,1748.5
ENSG00000158195,1494,946,1151,1031.67,1106,842.5,1280,839.5,1209.17
ENSG00000130772,624,597,753,671,758,589,807,550,850
ENSG00000204160,1203,362,431,384,440,335.2,498,305,465.33
ENSG00000090020,2625,460,632,558.5,544,419.5,627,517,666
ENSG00000157978,924,537,580,579,576,479.5,584,430,544
ENSG00000158246,1275,133,142,131.5,166,105,156.5,118,152
ENSG00000130770,399,6839,8081.5,7365,8587,6497,9254,6614,9858.5
ENSG00000117305,975,605,737,730,740.5,595,866,602,826.5
ENSG00000162512,1408,363,435,400,447,360,462,319.5,469
ENSG00000198746,1620,403,452,455.5,536,372,530,397.5,571.5
ENSG00000158006,1191,229,289,225,254.5,181,254,166,277
ENSG00000188529,909,2332.2,2930.3,2662.8,2839.4,2270.18,3311.73,2363.53,3480.88
ENSG00000142784,2031,779.5,975,825,975.5,734,1050,610,976.5
ENSG00000117682,1252,604,775,779,876,627.25,913,724.5,1031
ENSG00000175793,744,108,102.5,102,118,89.5,111,92,122
ENSG00000126698,792,3663.66,4464.58,4002.5,4473,3496.33,4822.25,3473.08,5115.41
ENSG00000130766,1440,755,906,891,879,661,909.5,731,1031
ENSG00000168528,1482,280,349.17,325,341,295.2,389.5,257.17,347.5
ENSG00000196581,1233,0,0,0,0,0,0,0,1
ENSG00000169403,1026,1,0,0,0,1,1,0,3
ENSG00000117676,2752,1710.5,2086.5,1909.5,2200,1662.83,2357,1637,2191
ENSG00000198830,270,1900.27,2090.29,1956.66,2234.72,1710.23,2645.72,1858.02,2797.84
ENSG00000084628,621,9,11,7,13,10,13,8,10
ENSG00000060688,1156,3507,4431.5,3946,4241.5,3490.5,5002.17,3561.5,5366
ENSG00000171612,963,258.33,383.5,379.5,379.67,305.33,388,327.33,465.5
ENSG00000162458,1351,412.83,442.33,412.33,506.17,386.67,502.33,355.5,490.5
ENSG00000188910,810,0,0,0,0,0,0,0,0
ENSG00000116138,2369,613.5,813.5,611,652,529.5,730,538,774
ENSG00000142765,1686,17,23,25,29,25,34,21,31
ENSG00000158161,1824,848,1145,926.5,992,769,1142,756,1124
ENSG00000142684,496,1223,1537,1400,1767,1193,1717,1394,2134
ENSG00000060642,1529,97,107,124,126,90,122,84,122
ENSG00000121769,420,13.5,13,8,13,9,17,10,16
ENSG00000157330,582,0,0,0,0,0,0,0,0
ENSG00000162413,1908,631,756,706,863.64,678.1,851,698,955.5
ENSG00000142627,2928,640.5,834,860,920,723,1006.5,694,1021
ENSG00000142632,2610,85,100,112,95,72,101,81,110
ENSG00000162490,1047,22,35,42,41.5,29,30,25,35.5
ENSG00000158292,1827,31,26,32,36,15,42,19,38
ENSG00000142733,3875,657,789.5,719.5,758.5,564,735.5,592.5,745.5
ENSG00000189337,2904,161,205,208,203,167,250,160,241
ENSG00000270601,1428,0.12,0,0,0,0,0,0,0
ENSG00000028137,1391,0,0,0,0,0,0,0,0
ENSG00000162460,1029,0,0,0,0,0,0,0,0
ENSG00000142687,3147,988.5,1204.5,1131,1104.5,848.5,1304.5,864,1228.5
ENSG00000130939,4168,2650.15,3707.57,3042.37,3097.9,2402.67,3475.8,2474.02,3479.98
ENSG00000127472,414,1,0,0,0,0,0,0,0
ENSG00000060656,4356,1575,2067,1873.5,1984.5,1570.5,2145.5,1488,1995.5
ENSG00000163867,4057,225.5,294.75,252.17,241,212.75,334.75,248.75,378.25
ENSG00000189280,819,0,0,0,0,0,0,0,0
ENSG00000134698,2583,133,164,163.5,176,149,236.5,153.5,202.5
ENSG00000134690,840,1221,1547,1446,1518.5,1228,1679.83,1211,1736.5
ENSG00000132881,774,94,96,97,141,75,127,83,97
ENSG00000273274,1485,43.5,55,63,55.5,43.5,46,35.5,71
ENSG00000116251,387,7290.99,8395.87,8428.11,8964.32,7006.43,9982.28,7292.24,11277.4
ENSG00000158286,1902,22,35,25,36,24,33,21,32
ENSG00000009709,1673,50.5,62.5,63,79.5,51.5,79,58,105
ENSG00000043514,1580,567,725,707,740,600,797,592,894.5
ENSG00000162510,1488,2,3,2,5,7,2,1,2
ENSG00000179002,2517,1,1,1,0,1,1,0,2
ENSG00000188984,1221,0,0,0,0,0,0,0,0
ENSG00000158008,2028,4,6,6,2,1,0,5,2
ENSG00000130940,5519,148,189,271,243,169.5,239,149,199
ENSG00000116771,1056,67,94,98,100,73,92,57,101
ENSG00000162585,934,812,868.25,870.25,988,703,910,715,927
ENSG00000163879,840,12,18,18,23,14,21,16,24
ENSG00000127129,534,0,1,0,0,0,0,0,0
ENSG00000010803,2092,215.75,259,243.5,283,210,330,247,344.5
ENSG00000169991,1551,228.5,293,272.5,325,258,314.5,251.5,351
ENSG00000116954,1197,593,731.5,697,706.5,590,821,582,804.5
ENSG00000117013,2142,14,13,20,19,14,27,15,20
ENSG00000163873,2808,6,8,7,7,5,11,5,10
ENSG00000117215,435,0,0,0,0,0,1,0,0
ENSG00000196449,837,1440.33,1639.33,1636,2016.83,1364,1932.17,1456.83,2298.5
ENSG00000237700,1422,0,0,0.2,0,0,0.2,0,0
ENSG00000253368,681,137,149,139,144,115,139,128,146
ENSG00000179862,552,135,155,132,159.5,122,139,101,148
ENSG00000116661,961,196,210,220.5,260,202,287,200,236
ENSG00000162461,912,2,0,1,0,0,0,1,0
ENSG00000044012,336,0,0,0,0,0,0,0,0
ENSG00000179051,1566,6115.21,7310.25,6877.28,8191.2,6052.41,8583.25,6122.5,8680.46
ENSG00000053372,717,2715.33,3384.33,3436.33,3803.67,3078.5,4292.83,3271.33,4957.33
ENSG00000126067,603,8570,11022.17,10057,10690.5,8373,12000,8470.5,13371.5
ENSG00000274944,1872,496,576.75,543.25,636,438.5,687.08,489.5,748
ENSG00000066136,1600,1716.17,2384.33,1982.83,2078.17,1607.5,2424.33,1736.67,2484.67
ENSG00000132906,1362,488.5,531.5,478,547,439,568,427,592.5
ENSG00000197312,1207,1197,1579,1373,1525.5,1267,1652.5,1296.5,1756
ENSG00000173660,437,5379.83,6019.41,5672.63,6532.75,5008.31,7025.11,5084.93,7442.94
ENSG00000092847,2755,809,1033,926.5,921,681,1055.5,662,955
ENSG00000204510,1422,0.5,0,0,0,0,0,0,0
ENSG00000054118,2913,5929.83,8075,7091.37,7176.33,6428.67,8276,6227.67,8505.5
ENSG00000254553,1536,38.5,45,46,48.5,39.5,41,28.5,57.25
ENSG00000177181,1173,315,368,365,444,316.5,407.5,274,360
ENSG00000276747,2082,1,0,0,0,0,0,1,0
ENSG00000159339,2030,0,1,3.5,1,0,0,0,0
ENSG00000162373,1263,62.5,81,107,92,61,110,57,129
ENSG00000197982,330,815,914,832,1019,740,964,750,1113
ENSG00000183317,3246,40,35,32,54,47.5,66,39,55
ENSG00000183386,840,519,712,646,719,565,781,573,881
ENSG00000158315,910,0,0,1,0,2,0,0,0
ENSG00000243749,462,344.83,411.17,382.83,445.67,315.33,454.83,280,492.83
ENSG00000204084,3164,728,900.5,824,925.5,743,1034.5,721,1049.11
ENSG00000186973,506,6,8.5,14,10.5,10.5,14,11,19
ENSG00000142698,1794,0,0,0,0,0,0,0,0
ENSG00000146463,4644,2130.33,2672.17,2209.67,2141.33,1703,2578.5,1719,2526.33
ENSG00000183520,759,2211,2819,2842,3010,2411.5,3462.5,2616.5,4034
ENSG00000090686,3269,2850,3770,3397,3298,2592,3728.5,2642,3923
ENSG00000085998,2270,350,399,321.5,410,293,435,270,435
ENSG00000271741,2169,151.83,180.42,169,172.67,133.58,228.08,156.75,233.08
ENSG00000211454,993,158.1,214.33,178.26,212.21,147.05,190.51,152.56,189.03
ENSG00000142686,687,73,65,90,79,52,84,47,81
ENSG00000117148,1098,14,14,11,14,10,14,14,18
ENSG00000127125,960,444.5,550.5,540.5,593,421,610,451,643
ENSG00000197429,1847,442,545,528.5,502,402.5,630,450.83,626.5
ENSG00000117000,5742,919,1345.5,1052,1034.5,951.5,1409,1004.5,1509
ENSG00000284989,648,216,282,260,276.83,200.5,315,237.5,328.75
ENSG00000178585,243,186,213.5,210.5,236.5,153.5,279,186,259.5
ENSG00000092853,4104,6017.5,7710.33,6573.33,6694.83,4991.5,7536.83,5359,7796.83
ENSG00000198754,1551,2.5,3.5,1,3.5,4,5,1,3
ENSG00000134697,2397,3592,4632,4522.33,4577.5,4117,5599.5,4427,6763
ENSG00000187513,999,0,0,0,1,0,0,0,0
ENSG00000278139,1521,127,171.25,153.25,157.75,129.5,191.5,140.75,201
ENSG00000116151,1679,251,304.5,257,363,232,325,243,340
ENSG00000006555,1950,0,0,0,0,0,0,0,0
ENSG00000066056,3509,0,0.5,0,1,0,1,1,0
ENSG00000214114,309,687,827.25,827.75,830.5,630.5,962.08,690,1083
ENSG00000173436,234,1745.91,2031.24,1894.33,2119.08,1710.12,2425.12,1812.5,2592.53
ENSG00000116544,2937,32,34,44,40.5,39,54,28,43
ENSG00000204060,1476,95.42,105.42,106,137.17,91.92,132.5,107.17,135.25
ENSG00000186094,1628,1,0,0,0,0,2,0,0
ENSG00000117016,924,52,51,59.5,59.5,45.5,80.5,35,64
ENSG00000121310,1003,102,120.5,132,138,99,141,98,158.5
ENSG00000169213,657,445,534.83,516.33,553,443.83,603.83,373.83,528.67
ENSG00000163866,291,574.5,625,607,723,468,738,558,863
ENSG00000049249,849,14,11,20,16,12,16,13,23
ENSG00000171793,1947,4393.5,5796,5484,5421.5,4385,6028,4544.5,7082
ENSG00000116990,1304,112.5,136,117,141.5,105,142,100,137
ENSG00000143001,630,0,0,0.33,0,0,1,0,0
ENSG00000274386,735,2,1,1,1,0,2,1,1
ENSG00000285839,651,119,128,140,135.5,110.5,155,124,194.5
ENSG00000117419,1464,1896,2461,2222,2349,1869,2682.5,1997.5,2971.5
ENSG00000162384,480,1187,1375.5,1359,1462.5,1112.5,1671,1174,1691
ENSG00000162391,1755,2,4,5.5,3.5,1,6,4,2
ENSG00000174348,2015,0,0.64,1,0.67,0,0,0.5,1
ENSG00000117859,2573,1833.83,2377.5,2180,2168,1947.33,2672.5,1843,2900.5
ENSG00000253313,339,0,0,0,0,0,0,0,0
ENSG00000040487,921,304,400,374.5,409.5,366.5,479,344.5,511.83
ENSG00000162396,1425,181,244,256.5,261,230,336,252,359
ENSG00000203995,2277,391,550,471,454,455,593,420,618.5
ENSG00000117713,6936,3857.5,4980,3812.83,4137.67,3001.83,4416,3128.5,4641.75
ENSG00000177868,198,243,387,331,326,261,412,290.5,434
ENSG00000284686,670,51,96,54.5,64,60.5,75,57.5,70
ENSG00000162378,2235,1142.5,1511,1390.5,1353.67,1122,1586.83,1118.5,1534
ENSG00000162599,2158,137,171,126,134.5,109.5,137,105.5,130
ENSG00000240563,2595,0,0,0,0,0,0,0,0
ENSG00000284773,165,81.83,92.17,70.33,99.67,66.83,99.33,57,91.33
ENSG00000117862,533,1384,1727,1482,1746.5,1315.5,1880.5,1309,2085
ENSG00000162551,1574,116,169,142,175,131,167,108,179.5
ENSG00000183431,1503,5305.83,6799.58,6491.75,6527.5,5397.42,7613.33,5675,8527.16
ENSG00000169174,2251,0,4,0,4.17,1,4.17,4,1
ENSG00000243725,1161,1388.5,1799.75,1706.5,1964.58,1449,1993.17,1456,2160.08
ENSG00000116985,1206,93,97,77.5,113,76.33,133,93.33,106
ENSG00000134716,1537,53,71,62,55,44,76,39,60
ENSG00000171872,1167,0,0,0,0,0,1,1,1
ENSG00000162407,933,199,266,192.5,217,181.5,227,156.5,244
ENSG00000169218,802,0,3,2,4,3,2,6,0
ENSG00000163877,1251,596.22,702,774,771.14,684,786,652.67,926.1
ENSG00000157184,2124,1120,1522,1447,1491.83,1087.5,1585.5,1185,1681.5
ENSG00000198815,1926,977,1336,1255,1164,1014,1443,1039,1625.5
ENSG00000134744,5182,1968.5,2608.2,2019,2195.53,1675.5,2643,1638,2497
ENSG00000162437,2073,828,1005.5,858.5,822,693,932.5,611.5,934.5
ENSG00000283039,3156,1,1,0,0,0,0,1,0
ENSG00000184292,969,0,0,0,0,0,0,0,0.5
ENSG00000187140,1434,166.48,202.28,195.16,222.1,184.16,257.18,176.81,281.09
ENSG00000186409,3644,6,6,12,10,6,14.5,10,16
ENSG00000162595,687,6,6,9,9,14,9,9,7
ENSG00000171357,717,87,98,72,91,50,98,61,78
ENSG00000162385,438,2949.17,3607.33,3578.17,3785.5,3077.33,4481.5,3265.33,5037.17
ENSG00000086015,5620,609,798.5,679.5,715,556.5,779.5,511.5,708
ENSG00000184588,2653,35,45,42,40.5,21,30,24,37
ENSG00000117472,723,0,0,0,1,1,3,1,0
ENSG00000123080,504,396,444.5,456.5,530.5,395,587,389.5,647
ENSG00000077549,1185,5533.67,6683,6099.5,6549.17,4993,7302,5124.67,7682
ENSG00000162598,1638,0,0,0,0,0,2,0,0
ENSG00000162415,3555,344.17,401.58,374.08,406.75,330.42,455.67,318.33,407.17
ENSG00000185483,2816,236.5,337,279,316,268,380,221,298.5
ENSG00000162600,1665,457,487.5,460.5,447,351.5,490,338,509
ENSG00000116704,1065,101,108,129,109,102,113,93,126
ENSG00000157193,3356,174.5,183.5,141.04,183.57,156.78,248.08,172.12,201.12
ENSG00000116205,1104,309,356,314,348,287,429.5,325,429
ENSG00000198841,1062,427,448,453,492.5,429.5,539,428,602.5
ENSG00000116212,1284,1485.5,1825,1733.5,1798,1415.5,2060.5,1461.5,2053
ENSG00000116729,1934,3168.5,4082,3459.5,3576.5,2848,4202.5,2860.5,4404.5
ENSG00000132854,2985,5,8,4,11,3,7,3,7
ENSG00000162616,1011,323,430,364,375,318,418.2,322,496
ENSG00000162607,2356,2215.33,2947,2861,2809.17,2430.17,3725.17,2370.67,3829.83
ENSG00000154027,1686,17,12,29,21,17,30,19,25
ENSG00000132122,1562,147,168,194,142.5,137,211,130.5,153.5
ENSG00000137960,945,4,1,2,4,1,2,4,2
ENSG00000116745,1599,0,0,0,0,0,0,0,0
ENSG00000132855,1380,0,0,0,0,0,0,0,0
ENSG00000172380,216,550.5,642,607,573,503,716,507,779
ENSG00000116675,3047,687.5,852,878,828.5,635,973.5,743.5,1077.5
ENSG00000162433,669,395.96,466.86,425.38,444.05,402.08,545.8,358.63,474.25
ENSG00000213625,599,269,342,296.5,311,266,406,231,351.5
ENSG00000085999,2384,737,952.5,1061,1177.5,845,1221,797.5,1189.5
ENSG00000158966,3822,897,1142.5,950.5,956.5,702,1131.5,764,1100.5
ENSG00000203965,1887,267,335,371,372,293,416,286,444
ENSG00000153898,1698,130,155,143,136,116,178,132,200
ENSG00000117069,1008,6.5,7,11.83,15.17,7.33,13,12,8.75
ENSG00000187048,1613,0,0,0,0,0,0,0,0
ENSG00000125703,1383,380,527.7,434,481.5,375.75,572,371,528.33
ENSG00000154007,885,0,0,0,0,0,0,0,0
ENSG00000162618,2074,0,0,1.5,0.5,0.5,1,1,3
ENSG00000131233,1545,0,0,0,0,0,0,0,0
ENSG00000153936,1069,487,655.5,540,611.5,444,691.5,464,746.5
ENSG00000174021,204,2105.42,2506,2345,2647.33,1917.17,2775.83,1980.75,2947.25
ENSG00000084072,1059,2372.83,2995.5,2604.5,2962,2307.17,3241,2367.5,3392.67
ENSG00000180488,2133,515,669,518,626,508,711,497,664.5
ENSG00000016490,2742,0,0,0,0,0,1,0,0
ENSG00000188786,2259,179.5,216.5,209,230.5,203.5,278,165,267
ENSG00000117151,1209,369.5,427,391,397.5,360.5,474,307,468
ENSG00000162434,3713,2135.5,2708.5,2294,2326.5,1962,2539,1776,2713
ENSG00000137941,2725,241.5,297,296,286,232,361,214,318
ENSG00000116717,495,480,578,678.5,703,611.5,845,675,957.5
ENSG00000137968,2261,152,234.5,177,178,164,251,158,212
ENSG00000066135,3207,1637,2100,1860,1910.83,1615.5,2182,1660.5,2385.25
ENSG00000284895,78,2,5,5,2,2,4,2,2
ENSG00000117174,1410,1191.5,1539.5,1299,1414.5,1069,1599.5,1134,1788.5
ENSG00000184313,4160,1.08,1.75,2.08,1.92,1.75,1.83,2.25,2.75
ENSG00000122420,1170,1,0,0,0,1,2.5,0,3
ENSG00000267561,909,210,300.5,245,258.5,192,292.5,211,331.5
ENSG00000143013,495,678,897,755,777.5,583,887,600.83,863
ENSG00000134748,936,1443.17,1882,1721.58,1904.5,1477.08,2161,1612.83,2305.5
ENSG00000097096,3582,289,367,309,338,297,370,301,397
ENSG00000142892,1195,1393,1857.5,1631.5,1672.33,1389.17,2011.5,1392.5,2052
ENSG00000184005,922,103,144,141,101,108,142,80,128
ENSG00000197273,345,0,0,0,0,0,0,0,0
ENSG00000058804,2022,1668,2281.5,1816.5,1934.5,1439.5,2139.5,1569,2360
ENSG00000162402,7968,2619,3397.33,2866.5,2800.33,2067.5,3259.5,2231.5,3345
ENSG00000116641,6899,2101,2902.33,2457.5,2412,1869.5,2791.5,1918,3015.5
ENSG00000172260,1062,0,0,0,0,0,0,0,0
ENSG00000185104,2055,2900,3729,3445.83,3355.5,2735,3993,2739,4032.5
ENSG00000117480,1737,22,25.5,22,28,15,31.5,22,21.5
ENSG00000137944,1362,940.5,1241.83,1157,1163,1051.83,1518,1056.5,1645.5
ENSG00000182183,570,0.12,0,0.12,0,0,0,0,0
ENSG00000271949,156,31,32.5,31.5,26.25,34,41.25,24.5,37.75
ENSG00000067334,2289,818,1381.5,1726,1694.33,1583,2074.83,1571,2056
ENSG00000122417,2159,394,457,433.83,427,372,575,337,542.5
ENSG00000142949,5863,5035.83,6419.5,5359.67,5739.17,4418.67,6350.83,4181.5,5876.67
ENSG00000116133,1776,3666.5,4518.5,3993,4472.33,3269.5,4727,3344,4596.5
ENSG00000171502,5553,97,109,79.5,101,72.5,112,58,107
ENSG00000162399,960,0,0,1,0,0,1,0,0
ENSG00000116157,561,0,0,0,1,1,0,2,0
ENSG00000143036,2065,73,96,97,78,72,106,88,103
ENSG00000065243,3097,2427,3203.5,2771,2818,2315,3468.5,2256.5,3536.5
ENSG00000117500,822,1341.5,1699.5,1550.5,1674.5,1355.5,1913.5,1411.5,1997.83
ENSG00000016602,2757,0,0,0,0,0,0,0,0
ENSG00000171790,1221,0,0,0,0,0,0,0,0
ENSG00000117528,2071,2365.5,3197.5,2822,2876,2337,3403.5,2457,3691.5
ENSG00000271723,4093,94.58,122.5,103.08,125.17,95.75,130,107.25,149.83
ENSG00000066185,1095,2,3,2,2,2,3,0,3
ENSG00000172339,648,195,224,219,272.5,171,279,195,312.5
ENSG00000036549,2732,563.5,757.25,574,656,516.5,875.5,577,823
ENSG00000058799,918,363,415,386,399,331,455,337,490
ENSG00000203985,679,0,0,0,0,0,0,0,0
ENSG00000283761,2372,219.25,287.75,265,257.5,212.5,359.5,231.5,356.25
ENSG00000189433,798,2,0,0,4.5,0,2,3.5,0
ENSG00000179178,657,2,1,2,1,1,1,1,1
ENSG00000142700,1626,453.5,543.5,477.5,579.5,414.5,518,400,541.5
ENSG00000127124,7218,35,33.5,31,39,30,41,21.5,49
ENSG00000097033,1206,1343.5,1719,1622.5,1568.5,1294.5,1878.5,1409,2048.25
ENSG00000182330,1422,0.5,0,0,0,0,0,0,0
ENSG00000162604,1080,479.5,613,586,655,504,664,506.5,726.5
ENSG00000116171,1685,2744,3533,2997.5,3275,2568.5,3768,2496.5,3831
